group,n,n_developers,median_w,median_s,share_w_gt1,median_s_primary,median_M,C_weighted_s_agg
developer serves (first-party API/product at release),33,7,4.954946435161385,0.7981814711651006,1.0,0.7981814711651006,919.1639296661056,0.6604651146290503
developer does not serve,44,12,3.7982724964522836,0.7367213298382864,0.9545454545454546,0.7367213298382864,497.6847688746242,0.6459081894907549
on-device or local target (card),12,3,7.591328551510679,0.8641495205879093,1.0,0.8641495205879093,2650.218799705449,0.786968123933993
server or unspecified target,65,16,3.7904764973965337,0.7361809258844253,0.9692307692307692,0.7361809258844253,494.9649263893441,0.6506792950366597
