period,tech,n,s
2023,chin,24,0.27103373233585243
2023,besi,24,0.26374456411196584
2023,hoff,24,0.08783594850059383
2023,farseer,24,0.23382982200630564
2023,farseer_emb,24,0.12018404429604222
2023,farseer_q,24,0.3088009121833748
2023,gadre_rw,24,0.5802231887213408
2023,gadre_c4,24,0.388774415735053
2023,gadre_rp,24,0.4547596126306336
2023,olmo,24,0.016790978399987763
2023,meta_a2,24,0.1326640757407089
2023,meta_a3,24,0.3536319414027723
2023,chin_q,24,0.2765747619447369
2023,gadre_rw_q,24,0.22747006314847895
2023,gadre_c4_q,24,0.17537223757304835
2023,gadre_rp_q,24,0.3088981610225748
2023,olmo_q,24,0.17243444205370875
2023,muen,24,0.13320554305138083
2023,muen_q,24,0.26964803572614965
2023,chin_ne,24,0.3844079188517028
2023,marin_comma_a3,24,0.07339817141149986
2023,marin_comma_a2,24,0.03179262351051097
2023,marin_dclm_a3,24,0.15078930031056692
2023,marin_dclm_a2,24,0.07362118028021294
2023,marin_nemotron_a3,24,0.1677774039549441
2023,marin_nemotron_a2,24,0.06790792073618
2023,meta_mf,24,0.27986019523894884
2023,marin_comma_mf,24,0.16064186076389173
2023,marin_dclm_mf,24,0.21936085857181675
2023,marin_nemotron_mf,24,0.21678753034621157
2023,deepseek,24,0.37391160055140255
2023,minicpm,24,0.007246671372526216
2024,chin,40,0.5456324525162751
2024,besi,40,0.5399435511928055
2024,hoff,40,0.2689666568739061
2024,farseer,40,0.48655239963634583
2024,farseer_emb,40,0.31199925808813905
2024,farseer_q,40,0.6092164831645508
2024,gadre_rw,40,0.7129200167281533
2024,gadre_c4,40,0.5565863088116605
2024,gadre_rp,40,0.6131103171022687
2024,olmo,40,0.05986968532634425
2024,meta_a2,40,0.31565660768077397
2024,meta_a3,40,0.567706644374703
2024,chin_q,40,0.5847245285923777
2024,gadre_rw_q,40,0.6213162599951129
2024,gadre_c4_q,40,0.5370464732588542
2024,gadre_rp_q,40,0.6750377172796304
2024,olmo_q,40,0.5884509492260267
2024,muen,40,0.4299506546455435
2024,muen_q,40,0.7389192234802766
2024,chin_ne,40,0.6227998373739286
2024,marin_comma_a3,40,0.21703800748438917
2024,marin_comma_a2,40,0.08352137887206569
2024,marin_dclm_a3,40,0.3763181026166587
2024,marin_dclm_a2,40,0.16768687717742128
2024,marin_nemotron_a3,40,0.40575748712472315
2024,marin_nemotron_a2,40,0.15993351441021628
2024,meta_mf,40,0.5872890269191434
2024,marin_comma_mf,40,0.3835821612176313
2024,marin_dclm_mf,40,0.4535113098566309
2024,marin_nemotron_mf,40,0.4585478530855007
2024,deepseek,40,0.6596047878870492
2024,minicpm,40,0.053989183245384494
2025,chin,13,0.7816498266706637
2025,besi,13,0.7789446451783176
2025,hoff,13,0.5934004013206566
2025,farseer,13,0.721998331819881
2025,farseer_emb,13,0.6614201573126556
2025,farseer_q,13,0.8344591638560497
2025,gadre_rw,13,0.8236268899129342
2025,gadre_c4,13,0.7383369033404608
2025,gadre_rp,13,0.7690017395962204
2025,olmo,13,0.2613350721984268
2025,meta_a2,13,0.61972957662783
2025,meta_a3,13,0.7634238098195765
2025,chin_q,13,0.8291467257178424
2025,gadre_rw_q,13,0.9012217618647697
2025,gadre_c4_q,13,0.8654337290653674
2025,gadre_rp_q,13,0.9075921180422889
2025,olmo_q,13,0.91216474684373
2025,muen,13,0.7234038173187118
2025,muen_q,13,0.9555876690696404
2025,chin_ne,13,0.8046638578877187
2025,marin_comma_a3,13,0.6156028845193752
2025,marin_comma_a2,13,0.24037692695254803
2025,marin_dclm_a3,13,0.7608559380353678
2025,marin_dclm_a2,13,0.39845366617845496
2025,marin_nemotron_a3,13,0.772301327690998
2025,marin_nemotron_a2,13,0.38668502727289117
2025,meta_mf,13,0.8624074589180493
2025,marin_comma_mf,13,0.7312613108013055
2025,marin_dclm_mf,13,0.7679734309230069
2025,marin_nemotron_mf,13,0.7752508906159017
2025,deepseek,13,0.8575309970116538
2025,minicpm,13,0.28370562176520653
All 2019-2025,chin,77,0.6067645417095591
All 2019-2025,besi,77,0.6019078841140518
All 2019-2025,hoff,77,0.34859233397436856
