sample,convention,order,h,fkind,center,B,ok,k_valid,sigma_re,se_sigma_re,sigma_fe,se_sigma_fe,sigma_median_budget,drift_sigma_per_decade,p_drift,diff_NF_minus_T
137 runs,T,2,0.6,auto,path,199,True,7,0.602754,0.0430662,0.60037,0.0419732,0.623401,-0.0633336,0.385,
137 runs,T,2,0.8,auto,path,199,True,9,0.66873,0.0329888,0.680466,0.0226817,0.669986,-0.0955483,0.01,-0.010871
137 runs,T,2,1,auto,path,199,True,9,0.672108,0.0274006,0.682527,0.0194868,0.672429,-0.0745006,0.005,-0.0115959
137 runs,T,2,1.25,auto,path,199,True,9,0.713545,0.011281,0.718422,0.0117669,0.694191,-0.0343522,0.05,-0.0113277
137 runs,T,2,1.5,auto,path,199,True,9,0.69053,0.0157414,0.71243,0.00677902,0.695148,-0.0572348,0.005,-0.0130635
137 runs,T,2,inf,auto,path,199,True,9,0.670887,0.0171131,0.680719,0.0142784,0.672616,-0.0509357,0.055,-0.0119051
137 runs,T,3,1,auto,path,199,True,9,0.664909,0.0236072,0.667943,0.0249164,0.679934,-0.0528275,0.1,-0.0084511
137 runs,T,3,1.5,auto,path,199,True,9,0.695721,0.0148512,0.706994,0.0109533,0.677747,-0.0501956,0.005,-0.0104515
137 runs,T,2,1,logquad,path,199,True,9,0.675467,0.02777,0.691943,0.0178618,0.67425,-0.0679258,0.01,-0.0152169
137 runs,T,2,1,cubic,path,199,True,9,0.679251,0.0266085,0.687627,0.0204988,0.673414,-0.0645362,0.02,-0.014688
137 runs,T,2,1,power,path,199,True,9,0.678013,0.0272213,0.686829,0.0185504,0.673427,-0.0716976,0.01,-0.018029
137 runs,T,2,1,auto,iter,199,True,9,0.700857,0.0242416,0.706369,0.0181369,0.711668,-0.0537001,0.025,-0.0132225
137 runs,N_F (T4),2,0.6,auto,path,199,True,7,0.580774,0.0397972,0.581967,0.0400108,0.589449,-0.0622862,0.465,
137 runs,N_F (T4),2,0.8,auto,path,199,True,9,0.657859,0.0323914,0.661815,0.024025,0.664655,-0.0952112,0.005,-0.010871
137 runs,N_F (T4),2,1,auto,path,199,True,9,0.660512,0.022436,0.667729,0.019282,0.672476,-0.0609651,0.01,-0.0115959
137 runs,N_F (T4),2,1.25,auto,path,199,True,9,0.702217,0.0112083,0.70574,0.0106189,0.679401,-0.0337814,0.04,-0.0113277
137 runs,N_F (T4),2,1.5,auto,path,199,True,9,0.677466,0.015325,0.700295,0.00738345,0.670474,-0.0537505,0.005,-0.0130635
137 runs,N_F (T4),2,inf,auto,path,199,True,9,0.658982,0.0170834,0.660345,0.0125853,0.662255,-0.0475608,0.065,-0.0119051
137 runs,N_F (T4),3,1,auto,path,199,True,9,0.656458,0.0224769,0.658718,0.0255018,0.672648,-0.050904,0.125,-0.0084511
137 runs,N_F (T4),3,1.5,auto,path,199,True,9,0.68527,0.0160681,0.695482,0.0112915,0.666182,-0.0558196,0.005,-0.0104515
137 runs,N_F (T4),2,1,logquad,path,199,True,9,0.66025,0.0230354,0.665989,0.0174619,0.666024,-0.0576219,0.03,-0.0152169
137 runs,N_F (T4),2,1,cubic,path,199,True,9,0.664563,0.0222187,0.669656,0.0179642,0.669985,-0.0584466,0.025,-0.014688
137 runs,N_F (T4),2,1,power,path,199,True,9,0.659984,0.0233143,0.664421,0.0166365,0.670018,-0.0631325,0.01,-0.018029
137 runs,N_F (T4),2,1,auto,iter,199,True,9,0.687635,0.0214693,0.693646,0.0159995,0.695656,-0.0617077,0.01,-0.0132225
132 runs,T,2,0.6,auto,path,199,True,7,0.599332,0.0411905,0.603182,0.0422641,0.620238,-0.0427069,0.61,
132 runs,T,2,0.8,auto,path,199,True,9,0.680477,0.0336146,0.696586,0.0234945,0.67135,-0.0807024,0.02,-0.0238297
132 runs,T,2,1,auto,path,199,True,9,0.676682,0.0245783,0.685322,0.0175513,0.672429,-0.054115,0.02,0.00198049
132 runs,T,2,1.25,auto,path,199,True,9,0.714039,0.0111928,0.72089,0.0113528,0.719431,-0.0393895,0.055,-0.0159201
132 runs,T,2,1.5,auto,path,199,True,9,0.687398,0.0153376,0.708092,0.00773746,0.695126,-0.0535566,0.005,-0.00848544
132 runs,T,2,inf,auto,path,199,True,9,0.672332,0.0179218,0.681205,0.00701709,0.67991,-0.0445977,0.005,-0.00913402
132 runs,T,3,1,auto,path,199,True,9,0.670618,0.0235394,0.671269,0.0257601,0.679934,-0.0467893,0.15,-0.0114382
132 runs,T,3,1.5,auto,path,199,True,9,0.694735,0.014105,0.707683,0.00911827,0.678155,-0.0432585,0.005,-0.00991129
132 runs,T,2,1,logquad,path,199,True,9,0.67808,0.0232763,0.684158,0.017758,0.67425,-0.0414811,0.09,0.00370924
132 runs,T,2,1,cubic,path,199,True,9,0.679937,0.0246026,0.689496,0.015949,0.673414,-0.0559174,0.02,0.00149436
132 runs,T,2,1,power,path,199,True,9,0.676429,0.0246424,0.682971,0.015585,0.673427,-0.0535308,0.015,-2.72477e-05
132 runs,T,2,1,auto,iter,199,True,9,0.698405,0.0235613,0.707579,0.0163583,0.711668,-0.0534837,0.01,-0.0122139
132 runs,N_F (T4),2,0.6,auto,path,199,True,9,0.595806,0.0336988,0.617131,0.0596293,0.596158,-0.0664547,0.335,
132 runs,N_F (T4),2,0.8,auto,path,199,True,9,0.656647,0.0319382,0.663395,0.0218631,0.663974,-0.0828359,0.005,-0.0238297
132 runs,N_F (T4),2,1,auto,path,199,True,9,0.678663,0.0199038,0.678702,0.0175064,0.6735,-0.0449633,0.04,0.00198049
132 runs,N_F (T4),2,1.25,auto,path,199,True,9,0.698119,0.0124058,0.706963,0.0104372,0.679522,-0.0343535,0.045,-0.0159201
132 runs,N_F (T4),2,1.5,auto,path,199,True,9,0.678913,0.0157025,0.698368,0.0076957,0.680347,-0.0559665,0.005,-0.00848544
132 runs,N_F (T4),2,inf,auto,path,199,True,9,0.663198,0.0178618,0.675825,0.00855604,0.669511,-0.0423472,0.005,-0.00913402
132 runs,N_F (T4),3,1,auto,path,199,True,9,0.65918,0.0232056,0.663405,0.0230123,0.671291,-0.0497591,0.12,-0.0114382
132 runs,N_F (T4),3,1.5,auto,path,199,True,9,0.684823,0.0151735,0.695727,0.0106514,0.666007,-0.0502982,0.005,-0.00991129
132 runs,N_F (T4),2,1,logquad,path,199,True,9,0.68179,0.0188742,0.682997,0.0177293,0.665093,-0.0330149,0.195,0.00370924
132 runs,N_F (T4),2,1,cubic,path,199,True,9,0.681432,0.0197701,0.683236,0.0165849,0.67064,-0.0440052,0.065,0.00149436
132 runs,N_F (T4),2,1,power,path,199,True,9,0.676402,0.0202907,0.679783,0.018544,0.669226,-0.0464076,0.025,-2.72477e-05
