output,benchmark,sample,measure,n_models,n_families,theta_conv,delta_logodds,delta_lo,delta_hi,odds_ratio,odds_lo,odds_hi,compute_eq,compute_eq_lo,compute_eq_hi,B_ok,loss_Besiroglu,loss_Besiroglu_lo,loss_Besiroglu_hi,loss_Hoffmann,loss_Hoffmann_lo,loss_Hoffmann_hi,log_ratio_to_syverson_compute,log_ratio_to_syverson_loss_Besiroglu
y_hellaswag,"legacy benchmark (Table 8 design, 57 models)",All dense base models,"Family effects, inputs netted with benchmark theta_C",128,38,0.3290836262488226,0.9847360977149258,0.6632212836950181,1.6626020351081947,2.6771052969848723,1.9410348985390375,5.273013575671628,19.932632863952705,7.474143060284611,160.74599957726198,999,1.7049528776288052,1.4313834716219318,2.4737440702248708,1.5891782427467578,1.3652975317109377,2.1953839000347033,4.587218606771047,0.8179010775872777
y_hellaswag,"legacy benchmark (Table 8 design, 57 models)",All dense base models,"Family effects, within-family (theta_N, theta_D) netting",128,38,0.3290836262488226,1.0415401306111605,0.7033122088362593,1.7201337502040275,2.8335777352588862,2.02043373535402,5.585275446050917,23.68805685030375,8.48964400241386,193.08060327907125,999,1.7582417915345532,1.4642684459366133,2.555908146153976,1.6322142186725954,1.3924891887074573,2.258554598765654,4.8518301278129785,0.865081311789054
y_hellaswag,"legacy benchmark (Table 8 design, 57 models)",All dense base models,"Within-developer residuals (Mertens design), own theta_C",128,38,0.42504902928875066,1.0229944116010683,0.5735607060552926,1.1586406543815364,2.781511295883182,1.7745745535474302,3.1856000001711995,11.098034519212057,4.093098115642302,18.12689410233505,999,1.5359156815212607,1.2856676519074912,1.6763277441214848,1.451456724708542,1.2437855609574022,1.565987700890213,3.689521842487607,0.6578417445155403
y_hellaswag,"legacy benchmark (Table 8 design, 57 models)",Drop distilled and synthetic-data,"Family effects, inputs netted with benchmark theta_C",121,36,0.3290836262488226,0.9445881814374353,0.644042769835702,1.6351753085331575,2.571754064418599,1.9041634339342204,5.130357313611145,17.643352799662583,7.021644274350611,143.89899035646172,999,1.6682664403881826,1.415533142753996,2.425390579746257,1.559447495163352,1.3521620097778848,2.158078958938256,4.400196653378103,0.7845550632973156
y_hellaswag,"legacy benchmark (Table 8 design, 57 models)",Drop distilled and synthetic-data,"Family effects, within-family (theta_N, theta_D) netting",121,36,0.3290836262488226,0.9563690661626119,0.6267665166369415,1.7749542645199614,2.602230771393073,1.8715491617215982,5.9000112902997,18.286410004612584,6.773897613034502,216.58898625468896,999,1.6789489962111581,1.4064954889989751,2.6088134530823206,1.5681134668369672,1.3446636210553216,2.29908840549227,4.455075817187531,0.7943400182045368
y_hellaswag,"legacy benchmark (Table 8 design, 57 models)",Drop distilled and synthetic-data,"Within-developer residuals (Mertens design), own theta_C",121,36,0.4298751933660703,1.0442501592436737,0.5779607601410941,1.1667532106350271,2.841267226718771,1.7823999810892106,3.2115484712761724,11.349728364957077,4.022058800850019,18.00000614040026,999,1.542069362827857,1.2816609419678089,1.6742299310065107,1.4565042304560536,1.2404195776774776,1.5642861341114098,3.723900077790833,0.6639713838701055
y_hellaswag,"legacy benchmark (Table 8 design, 57 models)",Also drop code-specialised,"Family effects, inputs netted with benchmark theta_C",107,32,0.3290836262488226,0.7267114081020374,0.5280832080535042,0.8269412819955422,2.068267722938896,1.6956789278748547,2.286314841878985,9.100123230185998,4.926172851789042,12.681925153749331,999,1.4825116977482227,1.3288453711140553,1.5728882775488333,1.4075392619645286,1.2799720124938074,1.4817434920377475,3.385256314594352,0.603591200892173
y_hellaswag,"legacy benchmark (Table 8 design, 57 models)",Also drop code-specialised,"Family effects, within-family (theta_N, theta_D) netting",107,32,0.3290836262488226,0.6393144698371991,0.47744929767903205,1.6288633851295746,1.8951812299843154,1.6119575301539544,5.098076874217067,6.97764363079478,4.195784405821232,143.36671920010576,999,1.4139474739254372,1.2913607565887437,2.4237851159491783,1.3508468671322806,1.2485659165352287,2.1568385889764423,2.9781331652413496,0.5310011433625326
y_hellaswag,"legacy benchmark (Table 8 design, 57 models)",Also drop code-specialised,"Within-developer residuals (Mertens design), own theta_C",107,32,0.43352756465464204,0.921275050447304,0.5391922436884915,1.1126833060888675,2.5124919023816,1.7146213064823548,3.042511440458372,8.373457123751859,3.8461257677595864,14.21950003493054,999,1.4606761091480176,1.2714804059419416,1.605311344961721,1.3895227548082711,1.2318607610061831,1.5082262433527176,3.257680191089345,0.5808443780712301
y_hellaswag,strict benchmark (20 models),All dense base models,"Family effects, inputs netted with benchmark theta_C",128,38,0.43035028326263225,1.1066392346919685,0.6992063348079199,1.8282771494486574,3.0241777449805896,2.012155096109226,6.223155849902124,13.085239674227637,5.117582179469106,69.84563067773034,999,1.5816929317446333,1.3379080157176524,2.132111845190332,1.4889420812150371,1.2875474189448333,1.9296241037361075,3.9420290793031056,0.7028637848397438
