m_label,m,g_label,g,L,phi,rho,p,s_fleet
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,1.0,1.0,0.3630472759909394
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,1.0,2.0,0.5326994630131269
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,4.424778761061947,1.0,0.11411477560033492
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,4.424778761061947,2.0,0.204852817859533
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,8.130081300813009,1.0,0.06551396866191599
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,8.130081300813009,2.0,0.12297158101866865
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,10.416666666666666,1.0,0.051878930458531154
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,1.0,0.49480784452506826,10.416666666666666,2.0,0.09864049741145833
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,1.0,1.0,0.25444855560772317
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,1.0,2.0,0.4056739584421689
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,4.424778761061947,1.0,0.07160810079846282
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,4.424778761061947,2.0,0.13364606099022042
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,8.130081300813009,1.0,0.04028735028377591
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,8.130081300813009,2.0,0.07745427313479508
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,10.416666666666666,1.0,0.03172434185700163
2024,1.1519122772354577,frontier (estimated),1.6217254381592587,2.0,0.2962804304362891,10.416666666666666,2.0,0.06149770935887964
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,1.0,1.0,0.41142211670994017
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,1.0,2.0,0.58298947117107
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,4.424778761061947,1.0,0.13642452076816292
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,4.424778761061947,2.0,0.24009429271368968
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,8.130081300813009,1.0,0.07917127943166344
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,8.130081300813009,2.0,0.1467260683093018
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,10.416666666666666,1.0,0.06288510214039124
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,1.0,0.6068261510845583,10.416666666666666,2.0,0.11832906870884913
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,1.0,1.0,0.31787501497696974
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,1.0,2.0,0.4824054047075545
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,4.424778761061947,1.0,0.0952826435046575
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,4.424778761061947,2.0,0.173987315638956
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,8.130081300813009,1.0,0.054211518035373364
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,8.130081300813009,2.0,0.10284751609696288
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,10.416666666666666,1.0,0.04282100246484609
2024,1.1519122772354577,3x per year (illustrative),1.0986122886681098,2.0,0.4045507673897055,10.416666666666666,2.0,0.08212531654739014
2024,1.1519122772354577,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,1.0,1.0,0.45382919571191754
2024,1.1519122772354577,2x per year (illustrative),0.6931471805599453,1.0,0.7213475204444817,1.0,2.0,0.6243225779898917
