rep,hx|edu|F,hz|edu|F,hx|edu|P,hz|edu|P,hx|edu|T,hz|edu|T,q3mean|edu,hx|web|F,hz|web|F,hx|web|P,hz|web|P,hx|web|T,hz|web|T,q3mean|web,mf_F|edu|est,mf_F|edu|pop,mf_F|edu|wcu|lo,mf_F|edu|wcu|hi,mf_F|edu|wcu|se,mf_F|edu|cr2cv|lo,mf_F|edu|cr2cv|hi,mf_F|edu|cr2cv|se,mf_P|edu|est,mf_P|edu|pop,mf_P|edu|wcu|lo,mf_P|edu|wcu|hi,mf_P|edu|wcu|se,mf_P|edu|cr2cv|lo,mf_P|edu|cr2cv|hi,mf_P|edu|cr2cv|se,mf_P6|edu|est,mf_P6|edu|pop,mf_P6|edu|wcu|lo,mf_P6|edu|wcu|hi,mf_P6|edu|wcu|se,mf_P6|edu|cr2cv|lo,mf_P6|edu|cr2cv|hi,mf_P6|edu|cr2cv|se,mf_T|edu|est,mf_T|edu|pop,mf_T|edu|wcu|lo,mf_T|edu|wcu|hi,mf_T|edu|wcu|se,mf_T|edu|cr2cv|lo,mf_T|edu|cr2cv|hi,mf_T|edu|cr2cv|se,q3|edu|est,q3|edu|pop,q3|edu|wcu|lo,q3|edu|wcu|hi,q3|edu|wcu|se,q3|edu|cr2cv|lo,q3|edu|cr2cv|hi,q3|edu|cr2cv|se,mf_F|web|est,mf_F|web|pop,mf_F|web|wcu|lo,mf_F|web|wcu|hi,mf_F|web|wcu|se,mf_F|web|cr2cv|lo,mf_F|web|cr2cv|hi,mf_F|web|cr2cv|se,mf_P|web|est,mf_P|web|pop,mf_P|web|wcu|lo,mf_P|web|wcu|hi,mf_P|web|wcu|se,mf_P|web|cr2cv|lo,mf_P|web|cr2cv|hi,mf_P|web|cr2cv|se,mf_P6|web|est,mf_P6|web|pop,mf_P6|web|wcu|lo,mf_P6|web|wcu|hi,mf_P6|web|wcu|se,mf_P6|web|cr2cv|lo,mf_P6|web|cr2cv|hi,mf_P6|web|cr2cv|se,mf_T|web|est,mf_T|web|pop,mf_T|web|wcu|lo,mf_T|web|wcu|hi,mf_T|web|wcu|se,mf_T|web|cr2cv|lo,mf_T|web|cr2cv|hi,mf_T|web|cr2cv|se,q3|web|est,q3|web|pop,q3|web|wcu|lo,q3|web|wcu|hi,q3|web|wcu|se,q3|web|cr2cv|lo,q3|web|cr2cv|hi,q3|web|cr2cv|se,diff_mf_F|est,diff_mf_F|pop,diff_mf_F|wcu|lo,diff_mf_F|wcu|hi,diff_mf_F|wcu|se,diff_mf_F|cr2cv|lo,diff_mf_F|cr2cv|hi,diff_mf_F|cr2cv|se,diff_mf_P|est,diff_mf_P|pop,diff_mf_P|wcu|lo,diff_mf_P|wcu|hi,diff_mf_P|wcu|se,diff_mf_P|cr2cv|lo,diff_mf_P|cr2cv|hi,diff_mf_P|cr2cv|se,diff_mf_P6|est,diff_mf_P6|pop,diff_mf_P6|wcu|lo,diff_mf_P6|wcu|hi,diff_mf_P6|wcu|se,diff_mf_P6|cr2cv|lo,diff_mf_P6|cr2cv|hi,diff_mf_P6|cr2cv|se,diff_mf_T|est,diff_mf_T|pop,diff_mf_T|wcu|lo,diff_mf_T|wcu|hi,diff_mf_T|wcu|se,diff_mf_T|cr2cv|lo,diff_mf_T|cr2cv|hi,diff_mf_T|cr2cv|se
3,0.4,1.5,0.4,1.5,0.4,1.5,0.018608608309643955,0.4,1.5,0.4,1.5,0.4,1.5,-0.015577112665099143,0.6938269838484462,0.6964260533744919,0.6822326543757514,0.7059312055758274,0.006094131344438879,0.6789260160925602,0.7127657978325772,0.008939175185205225,0.7402619269145609,0.7425924851485288,0.7280319957890327,0.7530390142260103,0.006259241454646079,0.7328458700115582,0.761447605936288,0.00832049171339065,0.7410084467797323,0.7412381280845753,0.7317411969603611,0.7510426788515576,0.005524760141584289,0.7297405406399157,0.7581909725064956,0.008036258651513438,0.6902427178461431,0.6935660920555757,0.6789042423855556,0.702274473196075,0.006117430742294876,0.6735025097469316,0.7090609242750207,0.009371336616274716,0.0375705932739953,-0.003474801824462301,-0.006010917605538388,0.09674576220342955,0.03016999839597298,-0.12186044075535855,0.12435313938344517,0.07075658378195729,0.6832057340322727,0.6867964878735052,0.6792678965035053,0.6884751250787656,0.0026076673458765003,0.675089986886933,0.6931279999773673,0.00554102157775449,0.7314036681334989,0.7363940867153541,0.7262966232371575,0.7374796025436284,0.0030782779220399842,0.7218369218508767,0.7467391789417755,0.007064309961294976,0.7488943382158377,0.7495494546758187,0.7428963077503135,0.7555974599070866,0.0034381650759781946,0.7366485817844354,0.7620198813914104,0.006909557915940187,0.6852712399099719,0.6881950142845472,0.6815048552854427,0.6907807111618193,0.0025875507807697645,0.6759039127161534,0.695657816346174,0.005416175741712798,-0.039948772597483195,-0.07269472724123854,-0.0904095992626649,0.018219627050545945,0.027871436192313703,-0.13046754458856752,0.04386414916433068,0.04846059758980678,0.010621249816173517,0.009629565500986703,-0.0007487127558192808,0.020122878221955652,0.005726348699433599,-0.0038850160931318337,0.026361585370768208,0.008479825872828995,0.008858258781062056,0.006198398433174712,-0.003767989465365912,0.019983610805237202,0.006618567648951383,-0.0058091438163667235,0.0332292460009638,0.011025941284809333,-0.007885891436105408,-0.00831132659124334,-0.020304372603108137,0.004986789463718416,0.007311082424152048,-0.02976755074437691,0.012992060963314761,0.012285629399962753,0.0049714779361712536,0.005371077771028521,-0.006723033121425984,0.014875231599001542,0.005693013133158967,-0.01188645247640913,0.02005795094874072,0.008603036981457434
1,0.5,1.5,0.8,1.0,0.5,1.5,-0.01534614557934009,0.5,1.5,0.8,1.5,0.4,1.5,-0.05178542798132023,0.6837905026970309,0.6841779925982198,0.6620798674900688,0.7057022836953895,0.013747856110256987,0.6470532383539377,0.7176631040981298,0.019572462908217673,0.7302950752741099,0.7286257030763384,0.7130626537108838,0.7474614049978353,0.010985109946699191,0.6926674705060536,0.7591746904087474,0.01874991405327086,0.7400310503822618,0.7399379085498445,0.7277593398001873,0.7532694326236957,0.007696525746756948,0.7193921713280861,0.7588156937812621,0.011546056529920802,0.685301085910863,0.6852425238444873,0.6665638845318469,0.7067645945884853,0.01265599560981195,0.6513071227181446,0.7155625653619557,0.017154368351540043,-0.08070129555226895,-0.09168491868694262,-0.11187666883431766,-0.04221601366542228,0.019152161678647132,-0.11474385672187855,-0.003814306875205495,0.02984820599456784,0.7099761197686931,0.7034934005892596,0.6988346959860414,0.7224000763497247,0.007255431368928944,0.6916657114960144,0.7281767758083394,0.010858892293306688,0.7507520466653275,0.7474468011893938,0.7434974972248226,0.7576439373761505,0.004061922617871406,0.7318497094134192,0.7630708480126311,0.009692402402035583,0.7523539669258652,0.7519215141509231,0.7479266595264574,0.7568146594082581,0.0025742419273094325,0.7435660383042424,0.7612100970518347,0.004653166963862957,0.7118234698121165,0.706630788015191,0.7039872602103701,0.723873303059288,0.00579997247884915,0.6998022206975558,0.7332341036980151,0.009316187719201867,-0.08867460336188097,-0.11098228619188777,-0.1264013337555781,-0.043769337393009936,0.02609043855871528,-0.18964349032059472,0.0033091973553992654,0.0545447479317481,-0.026185617071662226,-0.019315407991039812,-0.058546048221635436,0.005846298465696453,0.02057411521565006,-0.076219952680173,0.023409188730483102,0.02859751058765949,-0.020456971391217604,-0.018821098113055323,-0.041982045730712896,0.001341984365827574,0.013922530317083771,-0.06500689272587104,0.022153730871718028,0.025512902458694683,-0.012322916543603402,-0.011983605601078584,-0.024221479253447607,0.0015661351837033682,0.008102137228220136,-0.0375833196197939,0.009871832548830756,0.013628921492574973,-0.0265223839012535,-0.02138826417070372,-0.056377563347461274,0.0017531034025759576,0.017966713381205496,-0.07477656976746011,0.012116137358461787,0.024482182878100688
2,0.4,1.5,0.4,1.5,0.4,1.5,-0.003021289136542237,0.4,1.5,0.8,0.5,0.4,1.5,-0.0718573215314027,0.7196334559116861,0.7272064436729856,0.7055776761548451,0.7340164341832748,0.00801313612521846,0.694972800092799,0.744722999433966,0.012877537234066769,0.7715275531738799,0.7758544446665046,0.7547737811317067,0.788598845636581,0.009018967614573199,0.7546606231009056,0.8012596191611656,0.012174401665181618,0.7635422313596438,0.7619379408160362,0.7563171240533865,0.7715876376510309,0.004396252540828571,0.7526756460584282,0.7798230248268906,0.008393436991032273,0.7142517625683829,0.7219399469038912,0.7017929261420907,0.7262986804266123,0.007061465804187912,0.6919445183909492,0.7343805649982439,0.012248120652269474,-0.01960195247815139,-0.0917454317315607,-0.0923241880625473,0.06363901518731847,0.04531835687922758,-0.06590222837801214,0.06680320177156644,0.0388071674932197,0.712113004224885,0.7067396084747405,0.7051821078143716,0.7203797148763448,0.0039053974210438358,0.6992911585993502,0.7351658056935632,0.008853381261314523,0.7530845534601227,0.7452132091885355,0.7478007331262468,0.763000918885437,0.004185840607086343,0.728335213993963,0.7706415153676432,0.011673943519891173,0.7560506319211114,0.750945625124454,0.7514318331127727,0.763836014863476,0.0032036039423173302,0.7476730724423123,0.7691314492698554,0.005587924966499595,0.7092213367340681,0.7037549822096748,0.7034462824087161,0.7167423385448316,0.003542246365528127,0.6947123585749904,0.7275584799522161,0.00833063291003624,-0.11178528662701422,-0.14127035193123072,-0.14938339730368247,-0.08333007787839954,0.01978173908445425,-0.19606036958952966,-0.01782679422762677,0.061642512029785095,0.007520451686801155,0.020466835198245104,-0.01414693181472565,0.025166651383759127,0.010928474846396237,-0.03331772892012887,0.03863802106509367,0.01793574946398836,0.01844299971375718,0.030641235477969042,-0.006428412050495491,0.03785477328213368,0.012221739167358386,-0.011270853299336601,0.051763669046987905,0.017128344444520417,0.0074915994385323925,0.01099231569158221,-0.00542125210959047,0.017894612873655187,0.006619332105596742,-0.012115088984941891,0.025970140684603304,0.010578780083515567,0.005030425834314789,0.018184964694216377,-0.014972774627370317,0.02069700404338665,0.009851787953002334,-0.03143931414870045,0.03549237855571605,0.017144988207432366
0,0.4,1.5,0.4,1.5,0.4,1.5,-0.1038172792487556,0.4,1.0,0.5,1.25,0.4,1.0,-0.07845921223584938,0.7241777760440664,0.7279574917589939,0.7169030651591382,0.7340937978025684,0.005413980851114043,0.7156940052685583,0.7416413673233949,0.007336404484739956,0.7759660280872611,0.7776373699178256,0.7673000117726817,0.7863032525097743,0.005756288146074312,0.7629662103634293,0.811365568082516,0.012113578074503974,0.7635942098966138,0.7639402867127644,0.7596080442902784,0.770379839439631,0.0028988438059611996,0.7571272436409415,0.7802768113874388,0.005966613856296652,0.7170843663730408,0.7221550225364468,0.709635628208761,0.7266596745722955,0.004926688580389249,0.7071014356602722,0.7335217374333094,0.006979770834963925,-0.12677349728907028,-0.1183847740868528,-0.14561741914528908,-0.08060882167200109,0.017441199262539116,-0.24962324722333046,-0.013307272461172664,0.080056394613891,0.6775476084475142,0.6829706611429345,0.66720651874833,0.6872982968348059,0.005179342833528864,0.6639492395081783,0.6878106689225801,0.006238288302209892,0.7365087632849578,0.7406539727153512,0.7294072602812658,0.7433730095826956,0.0041836921678237386,0.7276268766792082,0.7484346247941279,0.0056008819937201325,0.7367261627216714,0.7410288681745808,0.7314725579105464,0.743147065023011,0.003575922131428212,0.7302046892960082,0.7459162149926364,0.004542309130292784,0.6774118594325914,0.6824869891607861,0.6674050512706309,0.6866616546756341,0.004999560874838653,0.664471475264053,0.6866902289471851,0.005993514052657296,-0.0712448881808981,-0.09098482941783861,-0.09792784794114845,-0.03183484402853247,0.019108201274188795,-0.14573386842198693,0.003799292710830224,0.04100311019279781,0.04663016759655225,0.04498683061605946,0.03692109543560768,0.05989025085367884,0.005979131883626814,0.03583191505773139,0.0666785722207334,0.008384097376359043,0.03945726480230327,0.036983397202474455,0.026696545484312544,0.0538416455955333,0.007609981898676761,0.021435530047527206,0.07540603118773995,0.014974444121877916,0.0268680471749424,0.02291141853818357,0.018030997404329,0.037564102603557324,0.005438751264687616,0.0133996170294619,0.04716250368734619,0.008620453654913703,0.03967250694044944,0.039668033375660716,0.03270593039151517,0.049235421827507085,0.004590535573049199,0.030820527622311668,0.05571480897584663,0.007085123648283823
4,0.4,1.0,0.6,0.8,0.4,1.0,0.0043482065439289985,0.4,1.25,0.5,1.25,0.4,1.25,-0.04986595602035133,0.6916596616953204,0.6941802552967563,0.672470032803435,0.709431014885594,0.011049010595802175,0.6638877060693886,0.7182162461225802,0.015432912782287554,0.7302693125708595,0.7294766298362828,0.7102577575549702,0.7474252267768946,0.011334218286144341,0.7054678312441471,0.7513549387046337,0.014530075152273267,0.73063781136505,0.7322759581592256,0.7169212324508978,0.743235954024205,0.007098783810616869,0.712264528378443,0.7441710009610167,0.008845117801523968,0.6887090301823742,0.6912161658897351,0.671024935001894,0.7050474926162711,0.010068657389574782,0.662803603829412,0.7135784008745558,0.014046488580453535,-0.013190172383971925,-0.024621796418416886,-0.05473157280124723,0.02048533818815671,0.02014259548967433,-0.03832959196238981,0.036131994597275535,0.021909956107758068,0.6856703245380518,0.6801512475191742,0.6747601090795305,0.7010087765479157,0.007189577003485542,0.6740477665909809,0.7124131348578884,0.010241512571877066,0.7362311313213803,0.7345309299806954,0.7256216878955605,0.7547986130110563,0.007571499303616614,0.7153482938365154,0.766781005225082,0.014822368749187015,0.7435379148956183,0.7417003413818011,0.734615162386967,0.7522152329246949,0.004955957652650391,0.7183524940159546,0.7718399610269031,0.012249480446565387,0.6865849489438185,0.6830236820415645,0.677252914047648,0.70044211030278,0.006529798345395755,0.6759103834927788,0.7109098996238818,0.009530133462988314,-0.06553630034478901,-0.11922273045426013,-0.14421334164108615,0.01661828260937094,0.05710152887271111,-0.17076599789162372,0.06840274439997791,0.07337927353269853,0.0059893371572686815,0.014029007777582092,-0.013046964296559084,0.024281760514760994,0.0106547753415126,-0.02419838396024826,0.02960046563048188,0.014331472962714517,-0.00596181875052082,-0.005054300144412549,-0.03319741291893152,0.01180072686031933,0.0115979779424629,-0.045673989688464575,0.020677524842037588,0.01830721509930357,-0.012900103530568252,-0.009424383222575439,-0.026698838556742238,-0.0006072314749183232,0.007572024236296196,-0.038744955427121114,0.005148188487137276,0.013093205465883474,0.002124081238555675,0.008192483848170617,-0.015753559426623275,0.01837242021106857,0.009829645370408377,-0.026953783530612077,0.02405519408862293,0.013603959620733639
6,0.4,1.5,0.6,1.5,0.4,1.5,-0.07109479788579112,0.4,1.5,0.8,1.5,0.4,1.5,-0.06688984546051406,0.6991089775046587,0.700992917489422,0.6944409361746149,0.7038565876553234,0.0033257545997067844,0.6913821396818668,0.710248690753652,0.005705942757390365,0.7457301883233851,0.7478465998447078,0.7383413623274417,0.7532373491521517,0.004962624200492731,0.7354174997645808,0.7603127892180682,0.007625894844672472,0.7530614524056573,0.7536536245388872,0.7484508830013584,0.7580074609889074,0.0027928324496228805,0.7466256409386777,0.7666719991076308,0.005193433049941487,0.7017838483492468,0.7028630818517545,0.6976134678345937,0.7061897758112097,0.002813184308804004,0.6941906912130323,0.7141730486093276,0.005444178214753811,-0.10846248696024907,-0.15084442162517406,-0.14693501041804272,-0.08589660982047037,0.020667956963836564,-0.16385712344909176,-0.07960393859379677,0.023847795825876133,0.6997533617085838,0.6954615681309487,0.6795284114286246,0.7233472752575015,0.012125323603247086,0.6593869528332545,0.7388018627547359,0.021033878440241294,0.7428461127323218,0.7393557305537946,0.7267776375369216,0.7563153118998472,0.008390258198992251,0.6989704047743441,0.7661072770945141,0.017812491082678118,0.7488939146683188,0.7462971108714134,0.7395445494006534,0.7566334027536472,0.004711715465480125,0.7325171506586664,0.7608446429341813,0.007633210610725031,0.7008039693557184,0.6957777467204297,0.6835594693702622,0.7208373589529966,0.010220885483759766,0.665408403824383,0.7348949078415121,0.018123525978459298,-0.08681111615570584,-0.09992590747583766,-0.12665803108228865,-0.04647002244054722,0.02192820359072771,-0.1598148890911746,0.03020339234830023,0.05770264909297289,-0.0006443842039250969,0.005531349358473325,-0.027183877524069894,0.021872401860902023,0.014085696387951355,-0.04191772375997186,0.044701490330423733,0.022990673938841865,0.0028840755910632954,0.00849086929091325,-0.017261856272487594,0.023447681130327927,0.011585342077665475,-0.02776152734164041,0.05281317139962813,0.02167170944672988,0.004167537737338467,0.007356513667473807,-0.007189289447882344,0.015459443652176903,0.006302881033902787,-0.011426889287928343,0.02309347964357847,0.00951040029289448,0.0009798789935283603,0.00708533513132481,-0.021264587684626548,0.019930721466622545,0.011801108850562932,-0.03361904573376949,0.039328194366251845,0.01943828341645778
7,0.4,1.5,0.4,1.5,0.4,1.5,0.14699627328834552,0.4,1.5,1.25,1.5,0.4,1.5,0.009506358481435218,0.7163883379582334,0.7085401699910362,0.7037254833176853,0.7305070112168653,0.007347130206226256,0.6981598293374705,0.7469698283447646,0.012990261183021152,0.7544729548222099,0.7530730871225406,0.7408203551792523,0.768036603556271,0.007912220190454374,0.7314056388196095,0.7850873580230269,0.014979069838821869,0.747935238913406,0.7498065373311259,0.7395378108138958,0.7573345872710796,0.005232252357348947,0.7350863013626207,0.7658275225843412,0.008256795809360815,0.716124382467367,0.7072998956514451,0.7045462315279155,0.7288704120967825,0.006649362163724072,0.70080600620084,0.7438857745701591,0.011597887110806077,0.1413821327341701,0.10101497881318018,0.09785006442093623,0.18712426530601245,0.02587295148835967,0.11050749135431738,0.2098921201132876,0.02799344467222293,0.7056556604158857,0.7051415804515204,0.6973920002870243,0.7154948721159256,0.005173050290498212,0.6938101309041287,0.7258653643469283,0.008543913625279778,0.7434002499460806,0.7417317702618724,0.7363946225872084,0.7513091794254316,0.004205130786293295,0.7194887271950733,0.7558369449197648,0.009210621619143012,0.7515324593337434,0.7514503598136695,0.7449053710296027,0.7584145585396999,0.003820799946623509,0.7388510103583429,0.7626545759548822,0.006684358794076978,0.7065831009576542,0.7053265608401423,0.6991807831273288,0.7150112935968375,0.004481070699010375,0.6951752060001358,0.7264999945094232,0.008152463705314026,-0.025201335500103346,-0.05891185235717711,-0.06378505416975527,0.023537546268245897,0.03056961513328317,-0.08565181698423062,0.04161141505818607,0.03921915020628617,0.010732677542347746,0.003398589539515773,-0.005901294651342381,0.03023603028066306,0.010438951132642888,-0.013953278129952743,0.04812669798680203,0.01688890185653699,0.011072704876129325,0.011341316860668194,-0.005828548222616258,0.02762899866689221,0.009701085569026342,-0.009249287256429907,0.04891339631469234,0.015091403396073986,-0.003597220420337388,-0.0016438224825435777,-0.013618132012797523,0.008643054210269606,0.006217436630043663,-0.01832325516439371,0.01566872055384929,0.009470452873209852,0.009541281509712785,0.001973334811302796,-0.00497242329680371,0.02575486593514879,0.009107269714563397,-0.0129937307139142,0.04338224579013587,0.01570174816911645
5,0.4,1.5,0.4,1.5,0.4,1.5,-0.018498901062792564,0.4,1.5,0.4,1.5,0.4,1.5,0.07702647672844347,0.7003985395090299,0.7051455696121921,0.6831464885786823,0.7177989404606697,0.00905958122359166,0.6675369801906014,0.7313216004279127,0.015988543604981496,0.7532338903347651,0.7557376936935125,0.7313041902547279,0.7739882631370734,0.011724494161278461,0.7173442315805221,0.7929545115478176,0.020378969847076277,0.7502728887803766,0.7497630226833819,0.7391157197429107,0.7634725997349633,0.007147753610664247,0.7285614286774297,0.7748557146596281,0.012645024306114253,0.6959802761111659,0.7007778310369025,0.6811066809464406,0.7104729452836253,0.007602676013696446,0.668896988540982,0.7224628659809484,0.013951753654403194,-0.0915165535971249,-0.13033904446810063,-0.16272540435538238,-0.04633745801786093,0.03151806307339959,-0.19075816806747486,-0.007930765216332042,0.051476888479206555,0.6935849083323119,0.6950117999957008,0.671475710470374,0.7273801264779922,0.01646845733273766,0.6609886105233176,0.7486259792291964,0.02440096594300433,0.7467771686103211,0.7472066482375396,0.7207696465276326,0.7857465352749244,0.01868555428827182,0.7114047540040228,0.8057781898739727,0.02618275886892937,0.7414474644370512,0.7457848032003213,0.7238625897495742,0.7591469644645472,0.0101337463400129,0.7169245164803281,0.7686033639320526,0.014847671719872522,0.693265795890538,0.6946086301926528,0.6737222073949973,0.7218489510188713,0.013779661254546946,0.6646962746119247,0.7401794852853274,0.020565950466703238,0.0578185106029194,0.02254891777651794,-0.0077902986193377904,0.14475556840999548,0.04543556654929227,-0.03677979521163986,0.17946515789266246,0.05947780582402126,0.00681363117671796,0.010133769616491262,-0.012123083017153806,0.02126970178803271,0.00942938434610973,-0.026511585794514368,0.03367632521473854,0.015301932735267644,0.006456721724444003,0.008531045455972941,-0.017384580776121795,0.01982599820099121,0.00990089673878737,-0.02946554564495374,0.03902699711067152,0.018777759866583806,0.008825424343325339,0.003978219483060652,-0.000917493863242691,0.017396299304754732,0.005191168003790586,-0.014798519172290706,0.03063506667041314,0.012060799886173396,0.002714480220627813,0.006169200844249656,-0.01360643168142859,0.0152910430638859,0.00815300315494691,-0.026448752552736786,0.026238842441214615,0.013434510627728883
9,0.4,1.5,0.4,1.5,0.4,1.5,-0.0664157063525955,0.4,1.25,0.4,1.0,0.4,1.25,-0.08496715598156888,0.6864848712241592,0.6870157116747025,0.6788691183463504,0.6948231041181449,0.004253078875333534,0.6756287612574938,0.7013239927457948,0.006833745943028624,0.7338306990634619,0.7336831265230205,0.725233858513757,0.7424990850099166,0.004488908965132441,0.7225726676366475,0.750560881995717,0.007634487123841059,0.7356238085006565,0.7356048284451708,0.7299987421449782,0.7414790104138407,0.003197265404608906,0.7266961846568567,0.7461314247617112,0.005143299803595882,0.6832308677535527,0.6849994059525716,0.6757501594181955,0.6918090286229933,0.004230068444954785,0.6717059403929816,0.6968126038152652,0.006980700260261053,-0.06979338161911258,-0.10300394208377585,-0.11087158668082041,-0.02664147284796116,0.022020454932612392,-0.12261901049410093,-0.023731443347791745,0.0282147120483472,0.6615702792043126,0.6639865579001659,0.656579083146432,0.6674383284629339,0.002810372454510921,0.6525626715254559,0.6738772782778182,0.005712711026956956,0.7216169557332951,0.7223744866954777,0.7189576626441156,0.7316871247750301,0.0037011254979559777,0.7147171257894344,0.737535327510111,0.005348359836969424,0.7263933320868505,0.7311999923926409,0.7200873299380609,0.7338002895741601,0.003914789091794558,0.7180323437475917,0.7351277392047325,0.004519778753682329,0.6664549376364417,0.6676149276279608,0.661854404994041,0.67162520778112,0.0024852744306002148,0.6576699419310285,0.6778940433853466,0.005529775302389983,0.001750812954404262,0.0007635711431949262,-0.022674494956271874,0.03690400552803861,0.01858579511842395,-0.024198159373162397,0.05933999882487913,0.022248945218173475,0.024914592019846693,0.023029153774536626,0.018971827173300714,0.031071677517494872,0.0034218715893840654,0.0169308985381335,0.03758732144457065,0.006131829627523162,0.012213743330166782,0.011308639827542821,-0.002701221099362952,0.01895014629795111,0.006049195295949509,-0.007804617104862861,0.028729653112428886,0.009705597325829377,0.009230476413805921,0.004404836052529948,0.003499713042915126,0.01635066329540474,0.0034613511172495214,-0.0015048356312262721,0.02162814210870939,0.005889663752633888,0.016775930117110982,0.017384478324610764,0.010709534079968368,0.02299414012492177,0.0032327318636982366,0.0066262665329408325,0.028891290341740282,0.005980920687676822
8,0.4,1.5,0.4,1.5,0.4,1.5,-0.13559038955293018,0.4,1.25,0.4,1.25,0.4,1.25,-0.022628888845018368,0.706067568887056,0.7089878965960081,0.6944870667373648,0.717170246746987,0.006257605279658475,0.6875361173493655,0.7494201372461605,0.01683052018190497,0.75253463507093,0.7562866640962944,0.7419385957921046,0.7632862245309446,0.005596556535227321,0.7394431948141589,0.7825803994060316,0.011505653027330011,0.7332925623755132,0.7363429388426966,0.7209667212083235,0.7464295499667252,0.007273435875971871,0.7160154256304033,0.7535718059966975,0.010759221091045901,0.698673670532034,0.7024383696133705,0.6867843713274074,0.7099842655720494,0.006471317398500807,0.6793110270840642,0.7401204742872123,0.016168527329072736,-0.16864600934329163,-0.2149126494064444,-0.2511104458719794,-0.03788163410165987,0.06999142441215167,-0.29391659471853293,0.15797552012974195,0.1338636883222778,0.641720729556847,0.6577102863888387,0.6172598922423997,0.6679451119083838,0.014641494927893472,0.5944252188578143,0.6813163377823266,0.02493244604951099,0.706726234903879,0.723878158473323,0.682699516237113,0.7350758536853352,0.014892449909597523,0.6769511650890075,0.7508749683656649,0.02122089853839732,0.730692247182303,0.7366423591431321,0.7167212661834353,0.7497505976414415,0.00899509308340896,0.712287806002161,0.7578397579694409,0.012208846247928683,0.6497948900979696,0.6613230161442555,0.6274093860094551,0.673770806593475,0.012995056418438124,0.6055147529444826,0.6869059710690273,0.022195622163526725,-0.03055266159700434,-0.052859069331715025,-0.06752506066188903,0.004884690956203631,0.020843931358067825,-0.07291945366284788,0.011595730317628453,0.02543108388826462,0.06434683933020902,0.05127761020716948,0.02988723224980265,0.09675046109278586,0.018248458076624795,0.0075164947194042014,0.126210609392422,0.032625212216021236,0.04580840016705101,0.03240850562297137,0.011187662472722529,0.07613651640836605,0.01808086441219016,-0.006826211727856135,0.09298123401639866,0.027271654697340064,0.0026003151932102453,-0.0002994203004355045,-0.024993030653202256,0.027457254664740558,0.013877608043297868,-0.03878406398434432,0.03518445164079803,0.019274848895487705,0.04887878043406435,0.04111535346911499,0.01586992830624688,0.07856116773445049,0.016708202416697734,-0.007910725019872666,0.10810200474642877,0.02994105594759467
