technology,C,sigma_modelfree,sigma_hicks,sigma_modelfree_lnL,sigma_analytic,err,dlnw_dlnM_at_path,one_over_sigma_minus_1
"Farseer Eq. 3 (fitted, non-homothetic)",1e+18,0.7446240113861543,0.744624011459297,0.7446240130743528,,-7.31427141076324e-11,0.3429596625615629,0.34295964769985154
"Farseer Eq. 3 (fitted, non-homothetic)",1e+19,0.7247771323625642,0.7247771322897717,0.7247771344510394,,7.279254976566563e-11,0.3797344836182631,0.37973448022606426
"Farseer Eq. 3 (fitted, non-homothetic)",1e+20,0.7073073993220653,0.7073073991476232,0.7073074015711147,,1.7444212740969078e-10,0.4138124258026885,0.4138124399072771
"Farseer Eq. 3 (fitted, non-homothetic)",1e+21,0.6899805063610139,0.6899805058483042,0.6899805085627841,,5.127097635337918e-10,0.4493163262817412,0.44931630789693155
"Farseer Eq. 3 (fitted, non-homothetic)",1e+22,0.671713406561935,0.6717134020050347,0.671713407876793,,4.556900301544431e-09,0.48873017020669685,0.4887301492437839
