technology,gamma,se_gamma,compute_multiple_per_halving,oom_per_halving,years_per_halving_raw,years_per_halving_effective,g_compute,g_algo,mult_lo,mult_hi
"Chinchilla refit, kappa = 1",0.1784826973339582,0.0057638191355706,48.59661748415931,1.6866060417090476,2.3947049469736252,1.4868489814617671,5.06181663761696,2.6918003852647123,38.566202011281455,63.17912113822535
"Chinchilla refit, kappa free",0.1654426056376968,0.0058578884386106,65.99991355863654,1.8195433667383574,2.5834542233384528,1.6040415690786083,5.06181663761696,2.6918003852647123,50.28800040956772,90.20561174054559
"Chinchilla IsoFLOP frontier (A1, E free)",0.1681561287100062,0.0074742036177153,61.68527842917766,1.7901815293519439,2.5417652126847075,1.5781572683395944,5.06181663761696,2.6918003852647123,44.33250263891161,91.41595511382609
Hoffmann et al. A3 (published),0.1548439032206377,,87.91983158077961,1.9440868474817659,2.7602856125746382,1.7138344566360364,5.06181663761696,2.6918003852647123,,
"Farseer, kappa = 1 (non-emb. N)",0.147640575594245,0.0091404214540353,109.38004724631683,2.0389381066305954,2.89495889957426,1.7974517890587856,5.06181663761696,2.6918003852647123,65.81112039047699,209.1789119689081
"Llama 3 IsoFLOPs, primal (A3)",0.1493623972428824,,103.61761965371453,2.0154336112754527,2.861586357373449,1.7767311025947707,5.06181663761696,2.6918003852647123,,
Llama 3 frontier (A1),0.1364270982479012,,160.88902228161786,2.2065264124945374,3.132906905915235,1.9451913890107766,5.06181663761696,2.6918003852647123,,
