w,C_over_Cmin_exact,C_over_Cmin_harberger
0.36,2.028564357509111,2.077867190392849
0.5,1.3937437072827712,1.4002352866815442
0.8,1.035497255178205,1.0355043722743347
1.25,1.0353623712165552,1.0355043722743347
2.0,1.3885349033879657,1.4002352866815442
2.62,1.8618430302543996,1.9155740699720856
5.22,5.517542341933006,6.775818627341371
7.0,9.834180676635215,14.198600926262362
