model,family,developer,N,D,M,date,in_strict_hull,in_legacy_hull
EleutherAI/gpt-neo-1.3B,GPT-Neo/J,EleutherAI,1315575808.0,380000000000.0,288.84690467035404,2021-03-21,True,True
EleutherAI/gpt-neo-2.7B,GPT-Neo/J,EleutherAI,2651307520.0,420000000000.0,158.41240475944488,2021-03-21,True,True
EleutherAI/gpt-j-6b,GPT-Neo/J,EleutherAI,6050000000.0,402000000000.0,66.44628099173553,2021-05-01,False,True
EleutherAI/gpt-neox-20b,GPT-Neo/J,EleutherAI,20554568208.0,472000000000.0,22.96326515953246,2022-02-09,False,False
EleutherAI/pythia-70m-deduped,Pythia,EleutherAI,70426672.0,300000000000.0,4259.749772074989,2023-04-03,False,False
EleutherAI/pythia-160m-deduped,Pythia,EleutherAI,162323040.0,300000000000.0,1848.1664710074429,2023-04-03,False,False
EleutherAI/pythia-160m,Pythia,EleutherAI,162323040.0,300000000000.0,1848.1664710074429,2023-04-03,False,False
EleutherAI/pythia-410m-deduped,Pythia,EleutherAI,405334208.0,300000000000.0,740.1299818247761,2023-04-03,False,False
EleutherAI/pythia-410m,Pythia,EleutherAI,405334208.0,300000000000.0,740.1299818247761,2023-04-03,False,False
EleutherAI/pythia-1b-deduped,Pythia,EleutherAI,1011782144.0,300000000000.0,296.50651751371487,2023-04-03,True,True
EleutherAI/pythia-1.4b-deduped,Pythia,EleutherAI,1414647808.0,300000000000.0,212.06691750657984,2023-04-03,True,True
EleutherAI/pythia-2.8b-deduped,Pythia,EleutherAI,2775209280.0,300000000000.0,108.09995561848223,2023-04-03,True,True
EleutherAI/pythia-6.9b-deduped,Pythia,EleutherAI,6900000000.0,300000000000.0,43.47826086956522,2023-04-03,False,True
EleutherAI/pythia-12b,Pythia,EleutherAI,11846072896.0,300000000000.0,25.324848380875604,2023-04-03,False,False
EleutherAI/pythia-12b-deduped,Pythia,EleutherAI,12000000000.0,300000000000.0,25.0,2023-04-03,False,False
google/gemma-2b,Gemma,Google,2506172416.0,3000000000000.0,1197.044537258206,2024-02-21,False,False
google/gemma-7b,Gemma,Google,8537680896.0,6000000000000.0,702.7669542921273,2024-02-21,False,False
google/gemma-2-2b,Gemma-2,Google,2614341888.0,2000000000000.0,765.0108844524623,2024-06-24,False,False
google/gemma-2-9b,Gemma-2,Google,9241705984.0,8000000000000.0,865.6410422329228,2024-06-24,False,False
google/gemma-2-27b,Gemma-2,Google,27227128320.0,13000000000000.0,477.464969761453,2024-06-24,False,False
h2oai/h2o-danube3-500m-base,H2O-Danube,H2O.ai,513590784.0,4000000000000.0,7788.301746473706,2024-07-04,False,False
h2oai/h2o-danube-1.8b-base,H2O-Danube,H2O.ai,1831201280.0,1000000000000.0,546.0896139172642,2024-01-23,False,True
h2oai/h2o-danube2-1.8b-base,H2O-Danube,H2O.ai,1831201280.0,3000000000000.0,1638.2688417517925,2024-04-05,False,False
h2oai/h2o-danube3-4b-base,H2O-Danube,H2O.ai,3961839360.0,6000000000000.0,1514.4480769659474,2024-07-04,False,False
HuggingFaceTB/SmolLM-135M,SmolLM,Hugging Face,134515008.0,600000000000.0,4460.468827389134,2024-07-14,False,False
HuggingFaceTB/SmolLM-360M,SmolLM,Hugging Face,361821120.0,600000000000.0,1658.2779910691781,2024-07-14,False,False
HuggingFaceTB/SmolLM-1.7B,SmolLM,Hugging Face,1711376384.0,1000000000000.0,584.3249967389991,2024-07-16,False,True
LLM360/Amber,Amber,LLM360,6738415616.0,1259000000000.0,186.83917284807623,2023-12-11,False,True
codellama/CodeLlama-7b-hf,CodeLlama,Meta,6738546688.0,2520000000000.0,373.96787715185155,2023-08-14,False,True
codellama/CodeLlama-13b-hf,CodeLlama,Meta,13016028160.0,2520000000000.0,193.6074483723305,2023-08-14,False,False
codellama/CodeLlama-34b-hf,CodeLlama,Meta,33743970304.0,2520000000000.0,74.6800088222363,2023-08-14,False,False
codellama/CodeLlama-70b-hf,CodeLlama,Meta,68976910336.0,3020000000000.0,43.78276709248052,2024-01-29,False,False
huggyllama/llama-7b,Llama,Meta,6738417664.0,1000000000000.0,148.40279274205582,2023-02-24,False,True
huggyllama/llama-13b,Llama,Meta,13015866880.0,1000000000000.0,76.8293045111414,2023-02-27,False,False
huggyllama/llama-30b,Llama,Meta,32528947456.0,1400000000000.0,43.03858899503889,2023-02-27,False,False
