rep,chi|val1,wcu|val1|lo,wcu|val1|hi,wcu|val1|se,wcu|val1|p_wcr,wcu|val1|se_wcr,cr2|val1|lo,cr2|val1|hi,cr2|val1|se,cr2|val1|p_wcr,cr2|val1|se_wcr,chi|val2,wcu|val2|lo,wcu|val2|hi,wcu|val2|se,wcu|val2|p_wcr,wcu|val2|se_wcr,cr2|val2|lo,cr2|val2|hi,cr2|val2|se,cr2|val2|p_wcr,cr2|val2|se_wcr
0,0.18673396621634542,0.16983165389621843,0.1976645400973232,0.007498214341613388,0.03,0.10301266209397258,0.16700969289880113,0.20114623491827704,0.009327823353969188,0.05,0.10909849142999202,0.20634076366003118,0.1948746516166544,0.21579476082012167,0.005766872345077353,0.02,0.12182789898549934,0.19290891800594742,0.21747323436797544,0.006394782323458356,0.05,0.1286905443064202
2,0.22297997344926213,0.1993176358716974,0.24258906100785332,0.011281658600774421,0.02,0.1278958182303869,0.19792682409328471,0.24677494828853724,0.013447598603587399,0.07,0.13768511220048588,0.21926218478690007,0.20173460528919313,0.238923373311442,0.010146394626605796,0.03,0.12509211680429141,0.1945315440810648,0.246140907853501,0.013973086885091102,0.05,0.1350801335321882
1,0.2219518867874175,0.1906996681151858,0.24559159867632432,0.016302036578564952,0.03,0.12235277317348535,0.18076989104266494,0.2534241477531608,0.02202846409321675,0.07,0.13328063304908638,0.20974265667451242,0.18067076223651696,0.2407367127079066,0.01632752336348179,0.01,0.11127119330497677,0.16737944019875262,0.25475524770567215,0.026046106125285826,0.05,0.12606154608105366
3,0.21746292595466166,0.19509993428907252,0.23651419500809764,0.011902581956629002,0.01,0.12961035030809834,0.19116616051451593,0.23896368254821687,0.013827399143820985,0.03,0.1402684160009279,0.2304315643822381,0.20885380006784265,0.2520173889803034,0.012557295641675405,0.01,0.1344527615468558,0.20280859677583768,0.2578524193648161,0.01623369353549407,0.02,0.1342577285710214
7,0.21637909804839062,0.19534610026516241,0.234920078702994,0.00901211266691286,0.02,0.11253444252888721,0.19057004999622743,0.2390349434051017,0.011164069069842075,0.03,0.11753469997693573,0.2233422792040427,0.21285573879432715,0.23783138479132368,0.006335879110816238,0.01,0.12916904075071256,0.2082570199212734,0.2430849222953926,0.009395624982418402,0.07,0.13957933614263937
4,0.21502002158647304,0.19218133646790442,0.24083635887183302,0.0128706028401436,0.02,0.13196327014837148,0.18710018721939203,0.24565406884310495,0.015271018825928082,0.05,0.13576789523988414,0.23751363249315105,0.20404161275596155,0.2737505720729704,0.018250674353197157,0.01,0.12335368121007646,0.19595787149850846,0.2824887106911933,0.021716567857148632,0.02,0.13000141135435025
6,0.22134093678681754,0.202117789823505,0.24181156287669053,0.010621290494596335,0.03,0.11870772874527351,0.20046456794155496,0.24159865617576082,0.01129128216359576,0.04,0.12887339485351165,0.21047044753230093,0.1888578014023262,0.234598468680934,0.013641049729045425,0.03,0.11451360383970403,0.18686003662547987,0.23812971187378848,0.014331005207595001,0.1,0.12861399033580315
5,0.2035557544399209,0.17517738423053233,0.22838137598503774,0.01519932106707389,0.01,0.11955769732653475,0.16778593660872598,0.2337235795647604,0.01879993213354241,0.02,0.12782302071671162,0.21170307056144821,0.18892590125227776,0.23940682440495786,0.013425416363369991,0.01,0.10392769627342781,0.1811758577619574,0.247869421579522,0.016919971128453115,0.03,0.11795162334745424
11,0.21572897469521646,0.18920836613109177,0.24043699288678896,0.014496803439758562,0.02,0.12048554161382573,0.1845085901026177,0.24448979506456087,0.016224230800684587,0.07,0.13366938244069523,0.22078934985176524,0.1983237575549044,0.2389082203465919,0.010400752935899333,0.02,0.1301653117754683,0.19908619507113534,0.23850223484976082,0.01056695954881934,0.04,0.13846603196720617
8,0.22469020157228137,0.2036079093494246,0.2473860436849403,0.011638330030522446,0.01,0.12264838092315086,0.20172594406115946,0.25194265015776285,0.012754277450813853,0.01,0.12673561917359083,0.21731780350361163,0.1900355680275196,0.24595999048541808,0.015449624744340541,0.01,0.12752985342283002,0.18550205409076215,0.2512721298234956,0.018573502397394505,0.04,0.13448568046229478
9,0.19606736074387054,0.17635978657173254,0.21321270178682586,0.00889254497957428,0.03,0.10138802753161538,0.17000936450493997,0.22019069241250322,0.013126266449309289,0.03,0.10583730103044287,0.20635381664375974,0.19667177678428657,0.21702049929459583,0.005855187081072065,0.02,0.11217371079648181,0.19173123672004314,0.22193951568595355,0.008253815056422587,0.04,0.11236967799014978
10,0.2107632370697914,0.19075461747079697,0.22567992332358616,0.009852782420243381,0.01,0.1006436450931323,0.18931496320793734,0.22625572331234442,0.010456377551278324,0.03,0.10739675341709841,0.2025690434548757,0.17411152119499454,0.2343702667401458,0.015422789259511604,0.01,0.10183403535818335,0.16852063974302528,0.24042808786185196,0.01909048478622711,0.01,0.10627778456803186
13,0.2293064199247965,0.21504665009834212,0.2438937321932106,0.007732552753678899,0.02,0.12818428848487662,0.2102556518290811,0.24787491636516928,0.010834634752808589,0.03,0.13723678059182232,0.21876288496618201,0.19813784206507887,0.24026689426223555,0.011728180381343925,0.02,0.12339713650248611,0.18834063930523234,0.248665590603053,0.017376435756113574,0.03,0.13200376662382077
12,0.19437602617465544,0.1685034749818833,0.21762271269478614,0.011742240878729776,0.04,0.0997486815886523,0.16695632970930402,0.218036143867556,0.013059561213624116,0.04,0.10996623954698408,0.19748701344403496,0.1720357438988546,0.2233827262198685,0.013631708781633991,0.01,0.10443118968199198,0.16841924465110236,0.2274529808486585,0.015302370270889517,0.01,0.114414683079738
14,0.2110804368270056,0.183333578679318,0.24169060598954312,0.01685593698891779,0.01,0.11860106807040549,0.1813380490902977,0.24703884762824502,0.01897812278539813,0.03,0.12914055286485612,0.21536679339317732,0.18668400648956296,0.2397984314971579,0.01566094776322498,0.01,0.11938260658785652,0.18455617973160204,0.24243594866394766,0.017106383055361617,0.04,0.1305811244342335
15,0.22259360788605953,0.20435591474486042,0.24033241604087166,0.00986636251712334,0.02,0.11933998977634497,0.19765794414887386,0.24501640234499558,0.013011609378417088,0.06,0.12939912551179744,0.22013563032116146,0.2024080670344901,0.2395371876813474,0.010477770489798534,0.01,0.11358363645321333,0.19840200204850586,0.24357529537918973,0.012327118667922543,0.01,0.13308527473400655
17,0.1781662191793556,0.1518384445855174,0.20676607177756828,0.014688188772624587,0.02,0.09374720959334011,0.14903986458760837,0.2088517336473314,0.016222140907749052,0.02,0.09875385445016457,0.21072538570464516,0.19149548947001493,0.23038656180659048,0.012042914685110019,0.01,0.11852177828379237,0.18927453960609109,0.23192107858362393,0.013190733528136869,0.02,0.13238736402381035
16,0.2247245943018541,0.21381585445497966,0.23343269722017443,0.005682049906078932,0.03,0.13652249785173007,0.2117665531182151,0.2356121691138136,0.007120640309043844,0.05,0.14607270847940917,0.2398718318665818,0.2156666712465225,0.26097399627071854,0.01257442974227499,0.01,0.13901147726989263,0.20882534079620207,0.2673956777391482,0.015159637208698975,0.03,0.14715848277987506
18,0.20700794600290617,0.18914731370104326,0.22504063731755702,0.009430262319004583,0.01,0.09315270550931422,0.18538969939682656,0.23068399801761877,0.012015946411407666,0.01,0.10113206856790795,0.18365074649113744,0.15514477915397643,0.20925730676922072,0.014216517315171233,0.01,0.08697680103975187,0.14612484737167367,0.21959831593905438,0.018831177880488142,0.02,0.09127503176227339
19,0.24174331028751084,0.22956671832806347,0.2555342182157667,0.006829057747612015,0.04,0.14774528650438024,0.22816782580088052,0.25548053266077386,0.0071229601471169525,0.05,0.15860358736612398,0.24538152114162148,0.23616352342334557,0.2551232611998586,0.0050388068278563675,0.03,0.14365036878721035,0.23426725940518234,0.25689953541446203,0.0061288416266129745,0.06,0.15522607144216619
20,0.22118819843889614,0.19859328566075107,0.24123205123275882,0.010639403050551569,0.01,0.13082687123855158,0.19204865159356999,0.2472551703959561,0.015685892429638082,0.05,0.1458110628564731,0.22759742406169536,0.21418003514120856,0.24553830508493327,0.0083458780429686,0.04,0.13952572279569225,0.211867961116243,0.2473461397225393,0.009511520908458882,0.06,0.14901150586446116
21,0.1942932543808098,0.17694270418590602,0.21089712696740945,0.00927557262455133,0.02,0.10690099542740544,0.17568544632275626,0.21321231531297283,0.010390754297346663,0.03,0.11739467773630972,0.2006050547529341,0.1803622448296954,0.21836796406350073,0.010438227085758926,0.02,0.12098367411003871,0.17653466345468538,0.22456127943956097,0.013331661769048455,0.06,0.13276448604771032
22,0.22176240032145955,0.19479945654639982,0.24213450605067127,0.01384878600055,0.02,0.12897226830127748,0.18986001287547816,0.24699357410610573,0.01681884794057792,0.04,0.1332418292141045,0.21165396350694277,0.18746728792251455,0.2305749966283161,0.010998120324122439,0.02,0.11846333319121354,0.17997238131243348,0.23619078893839948,0.013977500771984059,0.02,0.12334885912409758
23,0.20039260005910098,0.17617053080817602,0.22056470047049848,0.01250152613228657,0.02,0.10367859606771405,0.17305242651517877,0.22243555709038096,0.013965492825817851,0.05,0.1141405837752324,0.20427139027969599,0.1824928805692082,0.22465405719732495,0.011593739828521486,0.01,0.1260166440164444,0.1782808521621848,0.22957651670543897,0.014007867264983343,0.07,0.14103908777274327
24,0.21671115570767618,0.19728028134653613,0.23897049365062267,0.011046337258905975,0.01,0.13294673229733436,0.19555272689866743,0.24262356238068644,0.012264474265012941,0.04,0.13934381011016234,0.21818442805393623,0.1940533174539807,0.2421257210113655,0.012834000821009587,0.03,0.13645458285763365,0.19129704233920064,0.24650902875883932,0.014596251438092293,0.09,0.14557052561910655
25,0.20317870150441042,0.18185869985963085,0.22413612536785288,0.011196093376047187,0.03,0.12347351547644594,0.1773857921187926,0.22957348367088812,0.014721603894919211,0.06,0.13622051816959946,0.22820334811242304,0.19978809574387396,0.25626504203750333,0.01433856016985526,0.03,0.12294184668592872,0.19258739203434683,0.2627223909948353,0.01747964683010063,0.06,0.13585016210889245
