scheme,n_clusters,B,n_fail,E,se_E,rse_E,lo_E,hi_E,alpha,se_alpha,rse_alpha,lo_alpha,hi_alpha,beta,se_beta,rse_beta,lo_beta,hi_beta,a,se_a,rse_a,lo_a,hi_a,gamma,se_gamma,rse_gamma,lo_gamma,hi_gamma,sigma_star,se_sigma_star,rse_sigma_star,lo_sigma_star,hi_sigma_star,w70b,se_w70b,rse_w70b,lo_w70b,hi_w70b,kappa,se_kappa,rse_kappa,lo_kappa,hi_kappa,sigma_kappa,se_sigma_kappa,rse_sigma_kappa,lo_sigma_kappa,hi_sigma_kappa,E_kappa,se_E_kappa,rse_E_kappa,lo_E_kappa,hi_E_kappa,alpha_minus_beta,se_alpha_minus_beta,rse_alpha_minus_beta,lo_alpha_minus_beta,hi_alpha_minus_beta,Mstar_1e+21,se_Mstar_1e+21,rse_Mstar_1e+21,lo_Mstar_1e+21,hi_Mstar_1e+21,Mstar_5.76e+23,se_Mstar_5.76e+23,rse_Mstar_5.76e+23,lo_Mstar_5.76e+23,hi_Mstar_5.76e+23,p_kappa1_wald,p_kappa1_boot,p_ces_wald,p_ces_boot,pop_E,lo_basic_E,hi_basic_E,pop_alpha,lo_basic_alpha,hi_basic_alpha,pop_beta,lo_basic_beta,hi_basic_beta,pop_a,lo_basic_a,hi_basic_a,pop_gamma,lo_basic_gamma,hi_basic_gamma,pop_sigma_star,lo_basic_sigma_star,hi_basic_sigma_star,pop_w70b,lo_basic_w70b,hi_basic_w70b,pop_kappa,lo_basic_kappa,hi_basic_kappa,pop_sigma_kappa,lo_basic_sigma_kappa,hi_basic_sigma_kappa,pop_E_kappa,lo_basic_E_kappa,hi_basic_E_kappa,pop_alpha_minus_beta,lo_basic_alpha_minus_beta,hi_basic_alpha_minus_beta,pop_Mstar_1e+21,lo_basic_Mstar_1e+21,hi_basic_Mstar_1e+21,pop_Mstar_5.76e+23,lo_basic_Mstar_5.76e+23,hi_basic_Mstar_5.76e+23
pairs,240,999,0,1.817218100581434,0.02519695038737881,0.024865561038984747,1.7695948167030637,1.8707577883850786,0.3473104996027404,0.01456772303469679,0.016335115026917663,0.31768495642303995,0.37052690289442697,0.3671724330654793,0.021138368842806503,0.01739025099836418,0.33269254884632565,0.4177626921347034,0.513899515687915,0.019682958860661782,0.02047404889976448,0.48241458005790555,0.5583611545899052,0.1784826975391761,0.005381183041073796,0.005073622359804239,0.16924048345495407,0.19035083128003952,0.7367885706446813,0.006011833933139499,0.005546260151417953,0.7229734860648698,0.7470024790854989,1.0402020963746743,0.16263467457767647,0.16074153560704046,0.8185262596042306,1.4346906613949193,0.7741442157250977,0.05654251296446337,0.05860555713636461,0.6673418573364636,0.8880183041665304,0.700553424630108,0.014105527186139966,0.013806660004497713,0.6679539019851648,0.7217555398194837,1.7571362432623165,0.027439552531107775,0.027911868785021908,1.7110790787566998,1.8171706380815016,-0.0198619334627389,0.0286494397706077,0.029228021212926746,-0.08559610928907894,0.02382059929419447,21.384524787056236,3.4673378841501035,3.659209724918621,15.37699919030925,28.59702465905774,17.921012075075815,7.478599265774931,7.705102245324192,7.443035776556597,35.39497588309151,6.484681348615245e-05,0.001,0.4881371399150093,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster9,9,999,0,1.817218100581434,0.05147475923762521,0.04436255507520234,1.685902914838777,1.8918319354420812,0.3473104996027404,0.025451412540960228,0.024379495377399054,0.31555494703072445,0.41597334618030685,0.3671724330654793,0.04997147518797078,0.04386716677046874,0.24793007402284903,0.4468140916361836,0.513899515687915,0.049082499369074044,0.040132740538092904,0.3796073402331221,0.5873769555258772,0.1784826975391761,0.011036348332455415,0.01003898163148407,0.15057362141797376,0.19512772145940835,0.7367885706446813,0.010864034377153713,0.01125831277380495,0.7166581253557414,0.7596798416306754,1.0402020963746743,0.3354192707865541,0.2754622007690415,0.4848288172479668,1.89049921560769,0.7741442157250977,0.11610972003853548,0.10958063628824558,0.5329568973556094,0.9719787640081533,0.700553424630108,0.017536297162671428,0.018295144571538153,0.6651005176986948,0.7328683052767015,1.7571362432623165,0.09167457164549124,0.04827310233274791,1.449062116791585,1.879126406328999,-0.0198619334627389,0.0685310583370023,0.05724157697010795,-0.1313667085555321,0.15641494145363674,21.384524787056236,7.479769189658129,7.6739724130674905,11.233724807686256,40.58176739704903,17.921012075075815,49.60312448032806,19.61864120279189,3.6867285117163497,178.73658319036787,0.051751785496297574,0.05,0.771951020006552,0.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_trunk,44,999,0,1.817218100581434,0.039550906731389376,0.03849446390649977,1.7018564868365482,1.856940674171303,0.3473104996027404,0.01782819802353088,0.018955179244075984,0.3133102114946745,0.38106112471002374,0.3671724330654793,0.04218297023376451,0.04149885659663301,0.2612998186248505,0.42473817591513746,0.513899515687915,0.04044788639514149,0.03803885529139563,0.41220965878697213,0.5712961331009869,0.1784826975391761,0.008743798255751091,0.00861208246393078,0.15353564676660983,0.18732044529056638,0.7367885706446813,0.0090975105639997,0.009742944802719512,0.7254368571762598,0.7600134653510516,1.0402020963746743,0.2790718079733121,0.2730236665010884,0.5845550943371047,1.649691494971894,0.7741442157250977,0.07888490691843901,0.0800306372269401,0.6413190654775505,0.9443765172502078,0.700553424630108,0.018137061275875607,0.019449162634446703,0.6668633220326002,0.7385446365938434,1.7571362432623165,0.036841831091092,0.035870035746669804,1.6720704141358964,1.8139458791309253,-0.0198619334627389,0.055720706818662515,0.054056731357940875,-0.10724873689405068,0.1116082196675085,21.384524787056236,6.466082152146521,7.254367727884251,13.255372572685205,36.6340152561901,17.921012075075815,27.545451423053056,17.624722618430074,5.183964124027739,105.7843744662502,0.004195113016664907,0.005,0.7214997267562212,0.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cluster_single,117,999,0,1.817218100581434,0.03983604483465045,0.03702170288912696,1.7074666958341647,1.8603531589218008,0.3473104996027404,0.01815065404851604,0.02066600953979265,0.31458759839420647,0.3813673569458381,0.3671724330654793,0.04065094993590064,0.039937818632181626,0.26391331995538686,0.41769978469537183,0.513899515687915,0.0392072511205838,0.03661923754401258,0.4138451427587334,0.5666036014260133,0.1784826975391761,0.00879608143368853,0.008530046465356728,0.1546388461545677,0.18741717042760578,0.7367885706446813,0.009027654191801583,0.009276196773220025,0.7259173625905337,0.7596364592471059,1.0402020963746743,0.2587297721452617,0.2625101561897234,0.5790771715391986,1.557569824695463,0.7741442157250977,0.07643222572186566,0.07464486539511912,0.647648839464486,0.9373474369071392,0.700553424630108,0.017487405534627357,0.018914634254104567,0.6722023670056919,0.7383898356689497,1.7571362432623165,0.035956746978146104,0.03584768135003407,1.6739274687901233,1.817531410687084,-0.0198619334627389,0.05376317985895191,0.05162856808805367,-0.0974631371062504,0.11127599410694079,21.384524787056236,6.2934351766626015,7.0530768269553645,13.715173182648225,36.877301848857314,17.921012075075815,27.178519693454863,17.412826229086882,5.883132349634586,108.95297828332485,0.0031268818144047335,0.004,0.7118044411752259,0.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wild_fhh,240,999,0,1.817218100581434,0.021286414776757762,0.02004787103034905,1.7623413612680758,1.848058656494916,0.3473104996027404,0.013593300669410332,0.01348602072814455,0.321269230029759,0.37387530074447145,0.3671724330654793,0.016076500449932044,0.014061442077854699,0.3243006627384123,0.3924993931569472,0.513899515687915,0.016554661117103048,0.016428416739272703,0.4745809271090362,0.5413006683497326,0.1784826975391761,0.0046452775556541075,0.004378131211256819,0.16712539927590797,0.185950263189526,0.7367885706446813,0.005040224137713959,0.004717630349102518,0.72879650969099,0.7492828894089496,1.0402020963746743,0.1179527431567858,0.1251548194585539,0.8037497509054894,1.2589801449197098,0.7741442157250977,0.05380657114397902,0.05849008543709492,0.6740440867939024,0.8784461983633074,0.700553424630108,0.01226764037978875,0.013782103688238241,0.6780261864448917,0.7230221270660943,1.7571362432623165,0.0256474806486243,0.027310357294283175,1.7049937104809392,1.8026828207906491,-0.0198619334627389,0.02335052534162737,0.023234080883470207,-0.05969667424036034,0.0338400175771829,21.384524787056236,2.758400596249951,3.0736861068834207,17.357897667423515,27.740093168666203,17.921012075075815,7.03607317963229,6.82389150007916,10.46897119734564,37.38330201594557,2.6981784256939915e-05,0.001,0.3949921461445972,0.402,1.810474141059407,1.779633585145925,1.8653508803727652,0.35029616816316655,0.3237313670214355,0.376337437736148,0.3614229751192195,0.3360960150277516,0.4042947454462865,0.50781685237855,0.4804156997167325,0.5471354409574288,0.17788629751688648,0.17041873186653655,0.1892435957801546,0.7375395069782597,0.7250451882139913,0.745531567931951,0.9784470644694995,0.8084185451621243,1.266293500732263,0.7741442157250977,0.6698422330868881,0.8742443446562931,0.700553424630108,0.6780847221941216,0.7230806628153242,1.7571362432623165,1.711589665733984,1.809278776043694,-0.011126806956052948,-0.06482875799597475,0.028707933821568492,23.49181829674819,18.109578716963814,28.94137229769424,21.269682295790204,10.196378927672274,36.40990630031481
wild_cl_webb,44,999,0,1.817218100581434,0.04380298783482297,0.04561143032966331,1.7160077406135277,1.8837350356097982,0.3473104996027404,0.019788512375869444,0.022163597811421985,0.3108749084376626,0.38395465844823595,0.3671724330654793,0.028893557123534478,0.03616797233634114,0.31103892570554514,0.4083659028882723,0.513899515687915,0.02074975569738866,0.024092009886581115,0.4737358051345754,0.5490883021126485,0.1784826975391761,0.009844146261180133,0.01045861966505478,0.15854376362466427,0.1953989591857021,0.7367885706446813,0.010829085929558818,0.011622595846038999,0.7188454968477115,0.759213369109219,1.0402020963746743,0.14170422929527157,0.15792225563708887,0.8124928088262688,1.3192549010796772,0.7741442157250977,0.06180771087134474,0.07073842320078474,0.6742540174848577,0.8970659666237802,0.700553424630108,0.014536785263189281,0.016641430209194074,0.6746069308912018,0.7280723719010446,1.7571362432623165,0.04859763169915322,0.05413835853157693,1.6531448188670683,1.8390031932484454,-0.0198619334627389,0.02962185439316161,0.03512524503174443,-0.0704934577521358,0.036276322877340256,21.384524787056236,2.8213127455064404,2.9065884766086176,16.954344798548725,27.36732487573444,17.921012075075815,7.712820156929622,8.53788499822889,9.19840219616801,37.27224334235596,0.00025801688174489413,0.001,0.5025287781893895,0.57,1.810474141059407,1.7439572060310429,1.9116845010273134,0.35029616816316655,0.313652009317671,0.3867317593282444,0.3614229751192195,0.3202295052964265,0.41755648247915367,0.50781685237855,0.47262806595381657,0.5479805629318897,0.17788629751688648,0.16097003587036046,0.1978252314313983,0.7375395069782597,0.7151147085137219,0.7554825807752295,0.9784470644694995,0.7714829868585821,1.2526680773162364,0.7741442157250977,0.6512224648264152,0.8740344139653378,0.700553424630108,0.6730344773591713,0.7264999183690141,1.7571362432623165,1.6752692932761877,1.8611276676575648,-0.011126806956052948,-0.0672650632961321,0.039504717333343944,23.49181829674819,18.356246837803372,29.63024803498739,21.269682295790204,10.226758830851658,41.43917883375058
