design,n,sigma_chin,se_sigma_chin,sigma_kappa,se_sigma_kappa,kappa,a_chin,E_chin,E_kappa,qlr_kappa1,B
Chinchilla,137,0.6919134187819379,0.013393713291450888,0.6669319139916496,0.0225944523318119,0.8109353096550375,0.5676481115043166,1.9501244527175383,1.885182704957129,7.8129347695952776,399
Llama 3,133,0.769475375447445,0.005648581200181439,0.6926617450637105,0.019517702018872304,0.564218804289738,0.526819451333467,0.5941934058843725,0.5546948874461782,92.43440441569798,399
"Marin, Comma",85,0.6895463977985579,0.014850222410440924,0.6781616585397886,0.01495344431156772,0.27871180425766784,0.3970094195248863,2.6910204336475565,0.7777842991275419,94.46913866947418,399
"Marin, DCLM",85,0.673000974865412,0.012815049452666441,0.6633442068097245,0.01290124830259145,0.4089924629434407,0.4240700237951106,2.573863039259969,1.6387390633145649,85.96426075917434,399
"Marin, Nemotron-CC",88,0.6843170547304666,0.013847100548694468,0.6766416894866081,0.013900329505108382,0.40165131035826895,0.4406887058507891,2.501554088912237,1.393748833231755,132.67088965250372,399
"Porian, RefinedWeb",121,0.599111371171823,0.031767913369105255,0.3454017139792397,0.14095264664882237,0.22347924096274527,0.5293858605908641,3.1307570126711948,2.7178410105906177,81.37779354864242,399
"Porian, OpenWebText2",116,0.6088716641456957,0.039186627749012805,0.3472753939512619,0.15963887828746917,0.2300140861605885,0.5047844749704856,2.761243916267162,2.3905336073134507,72.69136304953399,399
