chi_true,n_rep,noise_sd,rho_trunk,conv,valset,statistic,value,mc_se,factor
0.22,500,0.005,0.5,P,val2,wcu_mean_halfwidth,0.02175118016914578,,
0.22,500,0.005,0.5,P,val2,cr2_interval_rejects_zero,1.0,0.0,
0.22,500,0.005,0.5,P,val2,cr2_interval_covers_truth,0.824,0.017030795636141023,
0.22,500,0.005,0.5,P,val2,wcr_cr2_p_below_0.05,0.668,0.02106067425321421,
0.22,500,0.005,0.5,P,val2,cr2_mean_boot_se,0.014095274093257316,,
0.22,500,0.005,0.5,P,val2,cr2_factor,1.2480731838849264,,
0.22,500,0.005,0.5,P,val2,cr2_mean_halfwidth,0.025605011863344584,,
0.22,500,0.005,0.5,P,val1+val2,plan_rule_factor_biased,1.0,0.0,
0.22,500,0.005,0.5,P,val1+val2,plan_rule_neutral,0.0,0.0,
0.22,500,0.005,0.5,P,val1+val2,plan_rule_inconclusive,0.0,0.0,
0.22,500,0.005,0.5,P,val1+val2,d8_rule_factor_biased,0.468,0.022314838112789438,
0.22,500,0.005,0.5,P,val1+val2,d8_rule_neutral,0.148,0.015880554146502572,
0.22,500,0.005,0.5,P,val1+val2,d8_rule_inconclusive,0.384,0.02175058619899703,
0.22,500,0.005,0.5,P,val1+val2,both_schemes_factor_biased,0.468,0.022314838112789438,
0.22,500,0.005,0.5,P,val1+val2,both_schemes_neutral,0.0,0.0,
0.0,500,0.005,0.5,P,val1,cr2_calibrated_rejects_zero,0.118,0.014427473791346842,1.2480731838849264
0.0,500,0.005,0.5,P,val2,cr2_calibrated_rejects_zero,0.118,0.014427473791346842,1.2480731838849264
0.0,500,0.005,0.5,P,val1+val2,cr2_calibrated_rule_factor_biased,0.054,0.010107818755794942,1.2480731838849264
0.0,500,0.005,0.5,P,val1+val2,cr2_calibrated_rule_neutral,0.818,0.017255491879398864,1.2480731838849264
0.0,500,0.005,0.5,P,val1+val2,cr2_calibrated_rule_inconclusive,0.128,0.014940950438308804,1.2480731838849264
0.22,500,0.005,0.5,P,val1,cr2_calibrated_rejects_zero,1.0,0.0,1.2480731838849264
0.22,500,0.005,0.5,P,val2,cr2_calibrated_rejects_zero,1.0,0.0,1.2480731838849264
0.22,500,0.005,0.5,P,val1+val2,cr2_calibrated_rule_factor_biased,1.0,0.0,1.2480731838849264
0.22,500,0.005,0.5,P,val1+val2,cr2_calibrated_rule_neutral,0.0,0.0,1.2480731838849264
0.22,500,0.005,0.5,P,val1+val2,cr2_calibrated_rule_inconclusive,0.0,0.0,1.2480731838849264
