year,open_weights,n,median_s,q25,q75,median_w
2019,False,1,0.527472781498298,0.527472781498298,0.527472781498298,2.116280207457294
2019,True,1,0.6886179652946939,0.6886179652946939,0.6886179652946939,3.2114890666264873
2020,False,9,0.2600525953825679,0.022030794625422585,0.6087701319934494,1.3514474052612164
2020,True,1,0.5527089381085636,0.5527089381085636,0.5527089381085636,2.235680712624464
2021,False,6,-2.2997804105076263,-3.100958151901391,-1.3563841144875792,0.30585892001556325
2021,True,1,0.8373066053871355,0.8373066053871355,0.8373066053871355,6.146531040055687
2022,False,12,-0.09720351209846549,-0.2181845156437682,0.16470719474435458,0.9143987919333911
2022,True,5,-1.2623745250522016,-1.3069256607226587,-0.1163731062819565,0.4420134636978049
2023,False,9,-0.19570170343393292,-0.5549262026431522,0.057052618148550706,0.8363289916942515
2023,True,53,0.5084827527461231,0.1654188358923379,0.6217453024050509,2.0345166025953985
2024,False,6,0.6351608422462118,0.4991041155638131,0.7385652552422637,2.839429509626542
2024,True,56,0.8121664447968584,0.6920021018947959,0.8753741506435218,5.327433861094612
2025,False,2,-0.11599345857962207,-0.41385556610605123,0.1818686489468071,1.2531451033887373
2025,True,24,0.8494652618095685,0.7159372272361402,0.8875271087342939,6.643813619713078
