tech,conv,n,median_w,share_w_gt1,median_s,median_w_headFLOP,median_s_headFLOP,median_w_sub1B,n_sub1B
chin_q,total,77,3.986234596660721,0.974025974025974,0.7491366913433287,3.986234596660721,0.7491366913433287,15.104260075390584,8
chin,total,77,3.336123407238904,1.0,0.7002508966454464,3.336123407238904,0.7002508966454464,9.964947954613828,8
farseer_emb,total,77,2.50306661064968,0.8831168831168831,0.6004900565788593,2.50306661064968,0.6004900565788593,10.669603121580653,8
chin_ne,nonemb,77,3.647335899172349,1.0,0.7258272811596762,3.7446424090351966,0.7329518039994508,9.126870065132763,8
farseer,nonemb,77,2.73735338561897,1.0,0.6346836308188685,2.8581277160596184,0.6501206036451519,6.847304346842714,8
farseer_q,nonemb,77,3.9059880629700987,1.0,0.7439828325436295,4.145309835549877,0.758763508719162,14.26327271305777,8
minicpm,nonemb,77,1.1681508098768125,0.6233766233766234,0.1439461484382696,1.242289048016409,0.1950343588742712,3.0357688999828283,8
