sample,n,sv1,sv2,sv3,sv4,sv5,cond,cond_scaled,svs1,svs2,svs3,svs4,svs5,cond_own,cond_scaled_own,share_wild,svn1,svn2,svn3,svn4,svn5,cond_norm,E,alpha,beta,a,gamma,sigma_star,lnG,Mstar_1e+21,Mstar_5.76e+23,se_E,se_alpha,se_beta,se_a,se_gamma,se_sigma_star,se_Mstar_1e+21,se_Mstar_5.76e+23,se_lnG,lo_E,lo_alpha,lo_beta,lo_a,lo_gamma,lo_sigma_star,lo_Mstar_1e+21,lo_Mstar_5.76e+23,lo_lnG,hi_E,hi_alpha,hi_beta,hi_a,hi_gamma,hi_sigma_star,hi_Mstar_1e+21,hi_Mstar_5.76e+23,hi_lnG
full (n=240),240,4.811363550491015,0.9985733896990555,0.2001158143806804,0.0025293017401213616,0.002401854266562185,2003.187128158946,219.5697953202846,2.1731465216831256,0.44588205378023416,0.2800365492838596,0.01024519773428549,0.009897292651355688,2003.1871231903049,219.56979572904518,0.0,0.7336365412120559,0.24558010714515857,0.20356874444537087,0.013438453001277459,0.011850654992786343,61.906834825470035,1.8172180994129594,0.347310498904837,0.36717243301631547,0.5138995161564407,0.1784826973432478,0.7367885708474567,-2.178530360500679,21.384524685916215,17.92101188357925,0.02472582646409523,0.014880569795630568,0.020073830533122915,0.019836536033886968,0.005130580102529821,0.005624983131678731,3.462238980333616,7.719993693855173,0.8470683766951177,1.773066546649965,0.31600673315996786,0.32885238804281863,0.4814400233247309,0.16917327897873133,0.7247425096160802,15.390819074787812,7.6318969428363825,-3.9503648831566407,1.8671193291105113,0.3732818745570407,0.41102503900397563,0.5554913524720035,0.18947327372394274,0.746164613374519,28.0139530353414,36.18027799135616,-0.8233637220614025
on-path band |dlnN|<=0.15,41,4.902286502559041,0.20586516783277914,0.12687681635959094,0.0018392803590472884,0.00033267923128627497,14735.775610652883,1602.7359795074583,2.2169468349001087,0.2859534410111777,0.05761913889315297,0.007448645379928173,0.0013832264722611427,15414.67952361291,1735.4319023238795,0.0,0.7293852084701399,0.2441884680800287,0.02518134796332677,0.00990357771940345,0.0017639418506501285,413.4973089965032,1.6961048269095325,0.41421941562547787,0.25081924663333083,0.37714987243211007,0.15622279976205217,0.7504581559446716,3.7111041147856927,55.60185994401009,265.0487912149501,0.1886966007992093,0.09742411813807542,0.08978302432446054,0.13881568264516334,0.018246727494294054,0.010937449731158849,59.21980793740631,4058.1798702974716,6.074037492105679,1.2436436634486505,0.13437992838267313,0.1789723505796408,0.2745517184911323,0.09728989698778709,0.7319187976792823,3.7727859457605684,0.1785195297906415,-14.817117183624859,1.8037534935224264,0.4964390197516595,0.5252059936074901,0.7846510024979836,0.17679979808009244,0.7737299881500346,138.64750957480672,2477.6493971780023,8.356432523228655
on-path band |dlnN|<=0.1,26,4.982532340274587,0.20315344698717455,0.0847501381003332,0.001990501444090735,0.00020889096277529437,23852.311627450996,2626.109489214281,2.217363426991203,0.2859678800848187,0.03820265120144943,0.007851669300912302,0.0008443530005501131,25974.063431035465,2884.4679226129338,0.005,0.7274060686000683,0.24991094364767696,0.018470628230558363,0.010526545872840094,0.0010091765169477017,720.7917112460558,1.726307955824119,0.30153065632778064,0.3438820307353322,0.5328095304418846,0.1606584074118381,0.7560257081175347,-3.062394471716436,21.528973177080296,14.186882953199003,0.5081023308746797,0.15171842063221466,0.15291757821894916,0.20139957886476637,0.035243470082214186,0.026010361078995903,266.76793373142385,20450.374513767863,8.7748269184902,4.000638603248078e-162,0.06611382591385177,0.12539067113139646,0.20433985390867593,0.05749859327662048,0.6986505156862001,0.6124065750560685,0.004396545394873278,-19.39106401098976,1.7720428200231606,0.595887873375839,0.7426142359499006,0.9117671339989176,0.17283740929562397,0.7891912675657328,722.1491194026028,26158.990372923327,11.861248525120905
A2 argmins (9 pseudo-obs.),9,4.635308803210874,0.2188248817147238,0.18170753078655866,0.0006724148773721658,0.00023972955851618412,19335.574769758503,2225.2310629662975,2.2151512115521026,0.2915065661103251,0.09010214498995628,0.0031055403894517312,0.0009954702001145183,21889.617460591908,3111.7326863897893,0.205,0.7422596443006705,0.21861118662914894,0.0349340460165285,0.006459756529566284,0.0008113606334060954,914.833199615147,1.3472735641172773,0.20891765578593668,0.24466088441420458,0.5394013665334522,0.11269046902389963,0.8151359197316983,-1.5208100688614752,0.5338532521528647,0.3235139830137288,0.746514034842828,3.478717234289935,0.1679018489390544,0.30950036742676745,0.12969408127821253,0.6100101038634064,3362649819.821316,5889611.631065594,14.229172083770326,0.0,0.007444992430958524,0.04235575660234942,0.08537955346028699,0.02582531375026042,0.3111060877786584,0.0006701056257762816,0.00011920232851027642,-23.634072017109105,2.031378744686672,3.8196386457893983,0.6416761059925826,0.9511291246037135,0.4219014694978416,0.8804262457174324,6105.362961543739,220897.3259571519,19.194704321059053
