dataset,null,bootstrap,cov,d_a,d_lnNstar_ref,d_gamma,d_Lstar_ref,W_slope,p_slope_chi2,p_slope_boot,W_path,p_path_chi2,p_path_boot,W_frontier,p_frontier_chi2,p_frontier_boot,W_all,p_all_chi2,p_all_boot,B,se_a_ols,sd_a3_strat,rse_a3_strat,t_a_ols_plus_a3,p_a_ols_plus_a3
Chinchilla n=240,"A3 (this fit), analytic",stratified pairs,robust,-0.016153801835302073,0.06161661340424729,-0.010326568623951954,-0.00511557053683509,0.6473833823709573,0.4210497449402443,0.43853820598006643,6.844164318316793,0.03264439330435671,0.053156146179401995,16.74584149967674,0.00023103975796757685,0.006644518272425249,21.51461741631222,0.0002503041841256577,0.016611295681063124,300,0.0252348838870894,0.017738580724268607,0.017852060334212282,-0.5225892182882245,0.601260145070643
Chinchilla n=240,"A3 (this fit), analytic",stratified pairs,sd,-0.016153801835302073,0.06161661340424729,-0.010326568623951954,-0.00511557053683509,0.44516025500619694,0.5046422780434305,0.43853820598006643,6.8313712840355585,0.03285387298160066,0.046511627906976744,18.776877459811182,8.368601076132363e-05,0.0033222591362126247,22.976185573001217,0.00012802088116318643,0.013289036544850499,300,0.0252348838870894,0.017738580724268607,0.017852060334212282,-0.5225892182882245,0.601260145070643
Chinchilla n=240,"A3 (this fit), design-consistent",stratified pairs,robust,-0.017422622902690643,0.02959387892770593,-0.008783649809328387,-0.005695456479791083,0.6376135628421613,0.4245762840197823,0.44518272425249167,2.869649310398904,0.23815711996643518,0.23255813953488372,20.68013406584588,3.231215660954205e-05,0.006644518272425249,23.75279052848617,8.952439020730041e-05,0.026578073089700997,300,0.0252348838870894,0.019862309914315892,0.01895576866240682,-0.5520235316613826,0.5809322310742338
Chinchilla n=240,"A3 (this fit), design-consistent",stratified pairs,sd,-0.017422622902690643,0.02959387892770593,-0.008783649809328387,-0.005695456479791083,0.4971415929558843,0.4807587811695443,0.44518272425249167,2.0700301543710204,0.3552210251512833,0.24916943521594684,21.261981167679096,2.4155690266001396e-05,0.006644518272425249,23.661586876512104,9.336953729195197e-05,0.016611295681063124,300,0.0252348838870894,0.019862309914315892,0.01895576866240682,-0.5520235316613826,0.5809322310742338
Chinchilla n=240,"Hoffmann (fixed), analytic",stratified pairs,robust,0.04124835861184062,0.15668970187217113,0.013312225489368529,-0.00642544516030652,9.811566977319314,0.0017341768505165884,0.036544850498338874,53.50012280450111,2.4132145904770022e-12,0.009966777408637873,7.670202916886993,0.021599146943173553,0.036544850498338874,65.24442504840479,2.2854904043661196e-13,0.009966777408637873,300,,,,,
Chinchilla n=240,"Hoffmann (fixed), analytic",stratified pairs,sd,0.04124835861184062,0.15668970187217113,0.013312225489368529,-0.00642544516030652,4.176459271373015,0.040989249870302946,0.036544850498338874,38.173185903598664,5.138046172635787e-09,0.009966777408637873,8.664629728379062,0.013137101658509204,0.023255813953488372,43.64662404127741,7.596869746292713e-09,0.009966777408637873,300,,,,,
Chinchilla n=240,"Hoffmann (fixed), design",stratified pairs,robust,0.04168070840283705,0.11323721382265717,0.015071722886342759,-0.007655983398878519,6.381150408601523,0.011533864770718405,0.05647840531561462,15.599932425739578,0.0004097488229827471,0.059800664451827246,14.422256195986431,0.0007383237839098389,0.016611295681063124,33.08973379484661,1.1450005108846971e-06,0.036544850498338874,300,,,,,
Chinchilla n=240,"Hoffmann (fixed), design",stratified pairs,sd,0.04168070840283705,0.11323721382265717,0.015071722886342759,-0.007655983398878519,1.4781825229660268,0.22405910007836255,0.05647840531561462,3.6245169645570914,0.1632849438996687,0.059800664451827246,6.489896326348726,0.03897058441631744,0.036544850498338874,18.903033417724078,0.0008211788719787911,0.029900332225913623,300,,,,,
Chinchilla n=240,"Besiroglu (fixed), analytic",stratified pairs,robust,-0.014866392818560004,0.06332215930092744,-0.010130362321383896,-0.006418368653009043,1.274489430541303,0.25892615231905863,0.2558139534883721,13.530552437146069,0.0011531289346564202,0.026578073089700997,31.96081933286723,1.1476151247786851e-07,0.0033222591362126247,39.20242330947584,6.326954390761709e-08,0.013289036544850499,300,,,,,
Chinchilla n=240,"Besiroglu (fixed), analytic",stratified pairs,sd,-0.014866392818560004,0.06332215930092744,-0.010130362321383896,-0.006418368653009043,0.5425079613435442,0.46139520049827976,0.2558139534883721,13.00604355816365,0.0014989029890282684,0.016611295681063124,35.02711466841808,2.4771864241428095e-08,0.0033222591362126247,41.8566511554903,1.786278441642073e-08,0.009966777408637873,300,,,,,
Chinchilla n=240,"Besiroglu (fixed), design",stratified pairs,robust,-0.01612625033008558,0.031056571296975477,-0.008585522103575743,-0.007010579289216334,1.5755962996857953,0.20939615301529466,0.22591362126245848,4.27031934416729,0.11822571152376322,0.1760797342192691,42.52299811468117,5.837787501647946e-10,0.0033222591362126247,48.65420774269151,6.89379809193033e-10,0.016611295681063124,300,,,,,
Chinchilla n=240,"Besiroglu (fixed), design",stratified pairs,sd,-0.01612625033008558,0.031056571296975477,-0.008585522103575743,-0.007010579289216334,0.6069990322851808,0.4359199700827888,0.22591362126245848,2.5987588332270652,0.27270097422714296,0.15614617940199335,41.36097074229447,1.0437087399337485e-09,0.0033222591362126247,44.76904446969067,4.4407263822076704e-09,0.016611295681063124,300,,,,,
Chinchilla n=240,"A3 (this fit), analytic","wild, fixed design",robust,-0.016153801835302073,0.06161661340424729,-0.010326568623951954,-0.00511557053683509,0.3566429023640802,0.5503766189296195,0.6932668329177057,5.289810140381785,0.07101209458426155,0.3566084788029925,17.227636131506372,0.0001815793035090243,0.48877805486284287,18.316365116059252,0.0010702071897591427,0.571072319201995,400,,,,,
Chinchilla n=240,"A3 (this fit), analytic","wild, fixed design",sd,-0.016153801835302073,0.06161661340424729,-0.010326568623951954,-0.00511557053683509,0.02822147552129883,0.8665891899802596,0.6932668329177057,4.055352326248997,0.1316410783706651,0.2593516209476309,16.479958090069633,0.00026388977919791545,0.486284289276808,17.995325374863395,0.001236696765047306,0.4763092269326683,400,,,,,
Chinchilla n=240,"A3 (this fit), design-consistent","wild, fixed design",robust,-0.017422622902690643,0.02959387892770593,-0.008783649809328387,-0.005695456479791083,0.41063358231407965,0.5216480990810752,0.6708229426433915,2.069259032430005,0.3553580109209715,0.6982543640897756,18.189729600324963,0.0001122407095843746,0.4139650872817955,18.625443926772057,0.00093091397254825,0.5336658354114713,400,,,,,
Chinchilla n=240,"A3 (this fit), design-consistent","wild, fixed design",sd,-0.017422622902690643,0.02959387892770593,-0.008783649809328387,-0.005695456479791083,0.032815322680555474,0.8562498390304981,0.6708229426433915,1.5475793724665663,0.4612617146967971,0.6059850374064838,17.590695557790976,0.00015143595239117138,0.4089775561097257,17.872121041846384,0.00130717114934655,0.47880299251870323,400,,,,,
Chinchilla n=240,"Hoffmann (fixed), analytic","wild, fixed design",robust,0.04124835861184062,0.15668970187217113,0.013312225489368529,-0.00642544516030652,2.355564328984942,0.12483670194048853,0.2593516209476309,15.591811559477597,0.0004114159630438121,0.05486284289276808,7.521775839420766,0.02326307545863762,0.8478802992518704,19.379420798945066,0.00066187835969775,0.4164588528678304,400,,,,,
Chinchilla n=240,"Hoffmann (fixed), analytic","wild, fixed design",sd,0.04124835861184062,0.15668970187217113,0.013312225489368529,-0.00642544516030652,0.18597389168499784,0.6662888530993472,0.2593516209476309,7.851998442077903,0.01972241996539114,0.0798004987531172,6.867729753687174,0.03226201081044808,0.8503740648379052,12.684320068130987,0.012925838942784517,0.6384039900249376,400,,,,,
Chinchilla n=240,"Hoffmann (fixed), design","wild, fixed design",robust,0.04168070840283705,0.11323721382265717,0.015071722886342759,-0.007655983398878519,2.4052034015776145,0.12093240489466357,0.256857855361596,7.89731150823393,0.019280602233369394,0.20947630922693267,10.805851770905516,0.004503385258080985,0.6957605985037406,15.903802712894615,0.00315100003637826,0.5685785536159601,400,,,,,
Chinchilla n=240,"Hoffmann (fixed), design","wild, fixed design",sd,0.04168070840283705,0.11323721382265717,0.015071722886342759,-0.007655983398878519,0.18989294046498653,0.663005737163156,0.256857855361596,3.013711298770036,0.22160568959187524,0.3765586034912718,9.891002918858346,0.007115345712097985,0.7007481296758105,11.480264747631248,0.021665095645509575,0.7082294264339152,400,,,,,
Chinchilla n=240,"Besiroglu (fixed), analytic","wild, fixed design",robust,-0.014866392818560004,0.06332215930092744,-0.010130362321383896,-0.006418368653009043,0.3059798549193272,0.5801576486574894,0.7032418952618454,5.275725847891146,0.0715139370897295,0.40648379052369077,20.529237239054122,3.4844382675654254e-05,0.19451371571072318,22.165082332322896,0.00018581116640348504,0.2817955112219451,400,,,,,
Chinchilla n=240,"Besiroglu (fixed), analytic","wild, fixed design",sd,-0.014866392818560004,0.06332215930092744,-0.010130362321383896,-0.006418368653009043,0.024157380758554555,0.8764851349759708,0.7032418952618454,3.906554133913728,0.14180859304644125,0.28428927680798005,19.133280851406457,7.002624723442626e-05,0.19451371571072318,21.27929329858063,0.00027874043099785983,0.20947630922693267,400,,,,,
Chinchilla n=240,"Besiroglu (fixed), design","wild, fixed design",robust,-0.01612625033008558,0.031056571296975477,-0.008585522103575743,-0.007010579289216334,0.3600380662402365,0.548485095247182,0.6708229426433915,2.065697126708332,0.3559914506828922,0.7456359102244389,21.92733597952528,1.7319665122203853e-05,0.14962593516209477,22.19252157012065,0.00018348742778609352,0.2817955112219451,400,,,,,
Chinchilla n=240,"Besiroglu (fixed), design","wild, fixed design",sd,-0.01612625033008558,0.031056571296975477,-0.008585522103575743,-0.007010579289216334,0.028425324458148497,0.8661127631707756,0.6708229426433915,1.480258964883234,0.47705214164572585,0.628428927680798,20.464280465203828,3.599465032615063e-05,0.14713216957605985,21.293636782991268,0.00027691904571584206,0.20947630922693267,400,,,,,
Chinchilla n=245,"A3 (this fit), analytic",stratified pairs,robust,-0.0792796004986197,0.050688903016094855,-0.042853959824463994,-0.004055802878070391,4.684688748463804,0.030432576417199576,0.046822742474916385,15.94613113212861,0.000344620906760173,0.023411371237458192,13.99298503145746,0.0009150859929590361,0.010033444816053512,27.217068127988213,1.7967819940902714e-05,0.020066889632107024,298,0.0271499756477868,0.03228523879783236,0.03464294748225822,-1.801225385839933,0.07166736269391154
