set,conv,C,Mstar_lo,Mstar_hi,paths
S2(f)-NF,nf,1e+24,5.6812043980353355,248.2150278207071,Chinchilla (N_F); Llama 3; Marin
S2(f)-NF,nf,1e+24,7.195173542722396,76.09814905826109,Chinchilla (N_F) (alone)
S2(f)-NF,nf,1e+24,5.6812043980353355,44.765437208578895,Llama 3 (alone)
S2(f)-NF,nf,1e+24,32.25099347265319,248.2150278207071,Marin (alone)
S2(f)-NF,ds,1e+24,13.906665276662359,13.906665276662359,DeepSeek LLM law (alone)
S2(f)-NF,ds,1e+25,12.434347536965099,12.434347536965099,DeepSeek LLM law
S2(f)-NF,nf,1e+25,4.532823218097177,468.36699910490734,Chinchilla (N_F); Llama 3; Marin
S2(f)-NF,nf,1e+25,5.674370697585796,106.87197320324665,Chinchilla (N_F) (alone)
S2(f)-NF,nf,1e+25,4.532823218097177,58.28415047819387,Llama 3 (alone)
S2(f)-NF,nf,1e+25,42.566780681353876,468.36699910490734,Marin (alone)
S2(f)-NF,ds,1e+25,12.434347536965099,12.434347536965099,DeepSeek LLM law (alone)
