stat,n_units,median_s,median_w,share_w_gt1,median_s_lo,median_s_hi,share_w_gt1_lo,share_w_gt1_hi,median_w_lo,median_w_hi,B,tech,n_family_units,n_dropped_models,n_point,n_lower,n_lower_point_if_choice,n_upper,n_lower_bound,n_models
"W2: lower-bounded units, cap-type budgets",8,0.5115011131696151,2.4848657836179697,1.0,0.3897853366105272,0.6196340011839272,0.8625000000000003,1.0,1.9309802574259054,3.2289444847371085,1197.0,reference,,,,,,,,25.0
"W2: lower-bounded units, members with an own cap",12,0.7206176461283129,3.591505183087895,0.9166666666666666,0.6589831552084201,0.7715169845230792,0.8333333333333334,1.0,2.948581175573351,4.378816989970593,1197.0,reference,,,,,,,,12.0
W2: point-identified units if 'cap or choice' is a choice,35,0.7345318547777187,3.766930300291516,1.0,0.6574848932547619,0.7875215858699898,0.9714285714285714,1.0,2.9195927534192903,4.7063604726296155,1197.0,reference,,,,,,,,61.0
W2: point-identified units if 'cap or choice' is a choice,35,0.7345318547777187,3.766930300291516,1.0,0.4924712810897652,0.8215099310662661,0.8571428571428571,1.0,1.9703325335344952,5.602565068663908,999.0,"reference, budget+trunk cluster bootstrap (ra1's conservative scheme)",,,,,,,,61.0
W2: point-identified units under coder B's readings,31,0.7372564893585437,3.805993143498089,1.0,0.6716832951631351,0.7898558705299078,1.0,1.0,3.045849282043561,4.75864992527732,1197.0,reference,,,,,,,,45.0
W2: point-identified units under coder B's readings,31,0.7372564893585437,3.805993143498089,1.0,0.5388507198179877,0.8240263939810138,0.9032258064516129,1.0,2.168497220192542,5.682670538124979,999.0,"reference, budget+trunk cluster bootstrap (ra1's conservative scheme)",,,,,,,,45.0
W2: point-identified units without MPT and Yi (weakest agreed choice codes),27,0.7452388072139551,3.9252446146294586,1.0,0.6905197669207813,0.7934205194214337,1.0,1.0,3.231232756028036,4.840751891434912,1197.0,reference,,,,,,,,36.0
W2: point-identified units without MPT and Yi (weakest agreed choice codes),27,0.7452388072139551,3.9252446146294586,1.0,0.5751272279599814,0.8296838476792754,0.9629629629629629,1.0,2.3536474999383787,5.871433978470237,999.0,"reference, budget+trunk cluster bootstrap (ra1's conservative scheme)",,,,,,,,36.0
W2: point-identified units without synthetic-flagged units (protocol rule),18,0.6750009934472421,3.077222160846656,1.0,0.6073274212231595,0.7308516763225688,1.0,1.0,2.5468142569593506,3.7160052289454506,1197.0,reference,,,,,,,,24.0
W2: point-identified units without synthetic-flagged units (protocol rule),18,0.6750009934472421,3.077222160846656,1.0,0.47865901334764593,0.7681324916639066,0.8888888888888888,1.0,1.918132370775175,4.313843437032211,999.0,"reference, budget+trunk cluster bootstrap (ra1's conservative scheme)",,,,,,,,24.0
W2: point-identified units without synthetic-flagged units (fix-list families),25,0.6781542602752874,3.1070785676869286,1.0,0.6102071027957947,0.7341880119613909,1.0,1.0,2.5654781086322194,3.762068020245678,1197.0,reference,,,,,,,,35.0
W2: point-identified units without synthetic-flagged units (fix-list families),25,0.6781542602752874,3.1070785676869286,1.0,0.4791530869941754,0.7854361986528265,0.92,1.0,1.9199499729658223,4.660618397602381,999.0,"reference, budget+trunk cluster bootstrap (ra1's conservative scheme)",,,,,,,,35.0
W2: units outside tier windows (interpretation check),17,0.8365643302052815,6.11861536258296,0.9411764705882353,0.7935387837559509,0.8721115534943158,0.8823529411764706,1.0,4.843525500392683,7.819315213440261,1197.0,reference,,,,,,,,19.0
W2: point-identified units outside tier windows,9,0.8365643302052815,6.11861536258296,1.0,0.7935387837559509,0.8721115534943158,1.0,1.0,4.843525500392683,7.819315213440261,1197.0,reference,,,,,,,,10.0
W2: point-identified units outside tier windows,9,0.8365643302052815,6.11861536258296,1.0,0.7174727897987812,0.887585085581584,1.0,1.0,3.5394879869127935,8.895617317771624,999.0,"reference, budget+trunk cluster bootstrap (ra1's conservative scheme)",,,,,,,,10.0
W2: size-specific members and singletons (units of one model),32,0.7520153417129352,4.03251996969461,0.96875,0.7029411307843072,0.7977870640116007,0.9375,1.0,3.367074124127635,4.946986055373602,1197.0,reference,,,,,,,,32.0
W2: size-specific members and singletons outside tier windows,15,0.8365643302052815,6.11861536258296,0.9333333333333333,0.7935387837559509,0.8721115534943158,0.8666666666666667,1.0,4.843525500392683,7.819315213440261,1197.0,reference,,,,,,,,15.0
"W2: size-specific members and singletons outside tier windows, without synthetic-flagged (protocol)",7,0.7452388072139551,3.9252446146294586,0.8571428571428571,0.6983918422366973,0.7911480661056491,0.7142857142857143,1.0,3.3155684371949175,4.7880830681249185,1197.0,reference,,,,,,,,7.0
decision units without Alibaba,43,0.7368882318215538,3.8006661842726315,0.9767441860465116,,,,,,,,reference,,,,,,,,
decision units without Qwen2.5/Qwen3 (D unaudited),47,0.7345318547777187,3.766930300291516,0.9787234042553191,,,,,,,,reference,,,,,,,,
decision units without synthetic-data models (version 3 flag),41,0.6987202269866623,3.3191740354760872,0.975609756097561,,,,,,,,reference,,,,,,,,
decision units without synthetic-flagged units (protocol rule),28,0.6444748590237812,2.8295136434394124,0.9642857142857143,,,,,,,,reference,,,,,,,,
decision units without synthetic-flagged units (fix-list families),36,0.6750009934472421,3.077222160846656,0.9722222222222222,,,,,,,,reference,,,,,,,,
decision units: models outside tier windows,23,0.8477340696772188,6.567457328636474,0.9565217391304348,,,,,,,,reference,,,,,,,,
"decision units, ra2 token counts (no audit)",49,0.7345318547777187,3.766930300291516,0.9795918367346939,,,,,,,,reference,,,,,,,,
