sample,technology,n_era1,n_era2,gmCE_era1,gmCE_era2,medM_era1,medM_era2,years_between,allocative_gain,allocative_lo,allocative_hi,physical_compute_growth,ho_algorithmic_gain,residual_technical,allocative_share_of_algorithmic,share_lo,share_hi
C >= 1e23,Besiroglu,7,92,0.5694225705657014,0.5960389980396693,1.7166822589526618,91.5768098087606,2.27872883519035,1.0467428388859357,0.5678087428965188,1.7242643993176865,1.2499504183922419,8.867765083946082,8.471770481261835,0.020932371393278807,-0.24948598438431743,0.2662362290195054
C >= 1e23,Hoffmann (TeX),7,92,0.3810492151072436,0.7294009690929031,1.7166822589526618,91.5768098087606,2.27872883519035,1.9141909763220961,1.4885543194316329,2.4289093884160877,1.2499504183922419,8.867765083946082,4.632643865548098,0.2975111267945621,0.10913940487936269,0.6416390340733703
C >= 1e23,Hoffmann (rounded),7,92,0.3067243908721457,0.7397440538757265,1.7166822589526618,91.5768098087606,2.27872883519035,2.4117549040437405,1.918761378533258,3.138049673891226,1.2499504183922419,8.867765083946082,3.676893149083135,0.4033841004690667,0.1747434754276831,0.8588581923427253
C >= 1e23,Farseer grid,7,92,0.4429094306066327,0.7011609229945013,1.7166822589526618,91.5768098087606,2.27872883519035,1.5830796874976298,1.2662946192774558,2.038881969409887,1.2499504183922419,8.867765083946082,5.601591097390263,0.2104872249983323,0.0841095737406354,0.4558769627006014
C >= 1e23,m1: llama_3,7,92,0.75095834275723,0.5553227826793549,1.7166822589526618,91.5768098087606,2.27872883519035,0.7394854695140923,0.6217823558003139,0.8570233500271792,1.2499504183922419,8.867765083946082,11.99180436874979,-0.13828697443093158,-0.3414830908770688,-0.04013338545513419
C >= 1e23,m1: marin_202603__comma__llama_2,7,92,0.1366463279983433,0.5889839372340314,1.7166822589526618,91.5768098087606,2.27872883519035,4.310280018949153,2.939128104947717,6.1578943587210295,1.2499504183922419,8.867765083946082,2.057352433011544,0.6694408026098443,0.27590741096771215,1.3312714436308697
C >= 1e23,m1: marin_202603__dclm__llama_2,7,92,0.19393356874297418,0.5891342791189358,1.7166822589526618,91.5768098087606,2.27872883519035,3.0378148710279893,2.220393586748733,4.464936747539391,1.2499504183922419,8.867765083946082,2.9191262339647617,0.5091307073865551,0.2143363611653017,1.0865468575584507
C >= 1e23,m1: marin_202603__nemotron__llama_2,7,92,0.23193482749698988,0.5967207023808511,1.7166822589526618,91.5768098087606,2.27872883519035,2.5727947321261855,1.849603085906595,3.7235572368682903,1.2499504183922419,8.867765083946082,3.4467441079598546,0.4330016860164489,0.16211898525974616,0.9011486451340316
C >= 1e23,m1: misfitting__fineweb_c4__transformer,7,92,0.5873333582899597,0.3235329153492114,1.7166822589526618,91.5768098087606,2.27872883519035,0.550850570264199,0.3990709494189554,0.7622414833036486,1.2499504183922419,8.867765083946082,16.098313340572425,-0.2732246490704595,-0.5968743385768781,-0.09124525486381242
C >= 1e23,m2: farseer (all),7,92,0.6276160395797805,0.6436918593012979,1.7166822589526618,91.5768098087606,2.27872883519035,1.0256140995572403,0.8607286178863528,1.2450621432400808,1.2499504183922419,8.867765083946082,8.646297947516825,0.011588751132592803,-0.07352722389648868,0.10377521749426938
C >= 1e23,m2: gadre (C4),7,92,0.8661524687162108,0.5177666422213857,1.7166822589526618,91.5768098087606,2.27872883519035,0.5977777134189853,0.5137123032461585,0.6978465767438371,1.2499504183922419,8.867765083946082,14.834552852810393,-0.2357638082629093,-0.49371135562577056,-0.0977364851968669
C >= 1e23,m2: olmo_ladder (all),7,92,0.3027306292571134,0.7641411176815942,1.7166822589526618,91.5768098087606,2.27872883519035,2.5241618912389545,2.0903135213924537,3.2309902493992717,1.2499504183922419,8.867765083946082,3.513152272334421,0.4242574275259371,0.17064886786580247,0.8962049430501087
C >= 1e23,m2: datablations (single_epoch),7,92,0.3917287279502707,0.681911861382605,1.7166822589526618,91.5768098087606,2.27872883519035,1.74077572750593,1.3547481118368763,2.222426030635341,1.2499504183922419,8.867765083946082,5.094145640835214,0.2539979118645808,0.09630710247918027,0.5105538850469805
C >= 1e23,Ho model 7,7,92,0.09845920130697194,0.008981248010533365,1.7166822589526618,91.5768098087606,2.27872883519035,0.09121796532283467,0.06735365655895377,0.12842301086661229,1.2499504183922419,8.867765083946082,97.21511604168842,-1.0971766845137436,-2.1596218364475406,-0.5107744885505849
Top-5 compute per year,Besiroglu,10,15,0.6704877989607663,0.8498505438422671,2.2577915775531894,19.591836734693878,2.3968036529679466,1.2675108259382306,0.9609985270236258,1.7748963743011912,20.6289823276692,9.929473115387905,7.833836928404899,0.10326910550981191,-0.02634571257838265,0.3161920985947882
Top-5 compute per year,Hoffmann (TeX),10,15,0.5238708472914467,0.7521888477099226,2.2577915775531894,19.591836734693878,2.3968036529679466,1.4358287955875793,1.0057738142309056,2.0781171505187586,20.6289823276692,9.929473115387905,6.915499358908248,0.1575870492717161,0.0014583669782457088,0.41191240203738894
Top-5 compute per year,Hoffmann (rounded),10,15,0.4509248728031295,0.6738592902463385,2.2577915775531894,19.591836734693878,2.3968036529679466,1.4943937025637097,0.9968941676811142,2.201979546655293,20.6289823276692,9.929473115387905,6.6444827078388915,0.17500295208184774,-0.0014468016755949508,0.4424877184573649
Top-5 compute per year,Farseer grid,10,15,0.576889069928525,0.7715230163557569,2.2577915775531894,19.591836734693878,2.3968036529679466,1.3373853944768734,0.9652097400315768,1.814199600815638,20.6289823276692,9.929473115387905,7.424541315012551,0.12664585948212764,-0.013222562022262482,0.32173987697594886
Top-5 compute per year,m1: llama_3,10,15,0.7885036705411314,0.8517060079989492,2.2577915775531894,19.591836734693878,2.3968036529679466,1.0801547790062203,0.9403370149678981,1.2475975692061716,20.6289823276692,9.929473115387905,9.192639155402677,0.03358923791710024,-0.028634582642984345,0.11611285465951855
Top-5 compute per year,m1: marin_202603__comma__llama_2,10,15,0.26473487662126793,0.35879224899555073,2.2577915775531894,19.591836734693878,2.3968036529679466,1.3552889350081445,0.7553740068946256,2.6566761473462375,20.6289823276692,9.929473115387905,7.326462172679241,0.13243898300984308,-0.11420085711395792,0.5098886785482872
Top-5 compute per year,m1: marin_202603__dclm__llama_2,10,15,0.3370562149959652,0.5002144564587427,2.2577915775531894,19.591836734693878,2.3968036529679466,1.484068336982692,0.8264938811911743,2.8559211795203616,20.6289823276692,9.929473115387905,6.69071151775655,0.17198253857979148,-0.09076927634577608,0.5319442506757613
Top-5 compute per year,m1: marin_202603__nemotron__llama_2,10,15,0.3783825621224594,0.5713109143937749,2.2577915775531894,19.591836734693878,2.3968036529679466,1.509876436136812,0.9006879158013563,2.494727269389886,20.6289823276692,9.929473115387905,6.576348155213002,0.17949313258395755,-0.05104224042918814,0.5020041940779981
Top-5 compute per year,m1: misfitting__fineweb_c4__transformer,10,15,0.6307002000155432,0.6980216944806121,2.2577915775531894,19.591836734693878,2.3968036529679466,1.1067408801573393,0.8157921366553782,1.449627562660923,20.6289823276692,9.929473115387905,8.971813812440258,0.04418175766024333,-0.10080126137282637,0.19615623998047493
Top-5 compute per year,m2: farseer (all),10,15,0.7189646848988381,0.8699057087353308,2.2577915775531894,19.591836734693878,2.3968036529679466,1.2099421946680604,1.0128708864153895,1.4678162086927826,20.6289823276692,9.929473115387905,8.206568180814614,0.08301980820176086,0.0032311993927203165,0.2144825772910347
Top-5 compute per year,m2: gadre (C4),10,15,0.839831710228176,0.8400283330837106,2.2577915775531894,19.591836734693878,2.3968036529679466,1.000234121733128,0.8645584105095356,1.12185363968414,20.6289823276692,9.929473115387905,9.927148954069757,0.00010197933981912868,-0.06190498361078042,0.05778362808154019
Top-5 compute per year,m2: olmo_ladder (all),10,15,0.44508158050162683,0.5636748068601241,2.2577915775531894,19.591836734693878,2.3968036529679466,1.2664527842847089,0.8183395858916014,1.8506547433062521,20.6289823276692,9.929473115387905,7.840381606485283,0.10290531303406505,-0.09016597639082712,0.32606239909395734
Top-5 compute per year,m2: datablations (single_epoch),10,15,0.5289643268762171,0.7971395681270048,2.2577915775531894,19.591836734693878,2.3968036529679466,1.5069817143142499,1.0603413442150667,2.170086386886425,20.6289823276692,9.929473115387905,6.588980490653332,0.17865713817443135,0.02032636233520186,0.42973713120348483
Top-5 compute per year,Ho model 7,10,15,0.06253448433461616,0.02925240369786694,2.2577915775531894,19.591836734693878,2.3968036529679466,0.467780361653581,0.25402944131940464,0.8304773727982699,20.6289823276692,9.929473115387905,21.226784895987716,-0.33097536535149896,-0.755557472007937,-0.059471429183727526
Epoch frontier flag,Besiroglu,7,6,0.5743410176377699,0.8971326912076926,1.7166822589526618,19.67078189300411,2.204566210045641,1.5620209312187825,1.0834928325499407,2.2217349778695143,19.140617681236275,8.259751602923227,5.287862305710893,0.2112255423942116,0.03140702517233457,0.4779381723549443
Epoch frontier flag,Hoffmann (TeX),7,6,0.40971201607566177,0.7491925982030372,1.7166822589526618,19.67078189300411,2.204566210045641,1.8285834166618227,1.1439826588731774,2.7379617606886106,19.140617681236275,8.259751602923227,4.517022044311136,0.2858497422468637,0.04677986702937155,0.6518500741456346
Epoch frontier flag,Hoffmann (rounded),7,6,0.33884107216003306,0.6592592900524161,1.7166822589526618,19.67078189300411,2.204566210045641,1.9456298076552272,1.145727856885719,3.1097955477225283,19.140617681236275,8.259751602923227,4.2452842624144695,0.3152351341991303,0.05572219974947072,0.7227009618970015
Epoch frontier flag,Farseer grid,7,6,0.46283753496630325,0.7504210934198726,1.7166822589526618,19.67078189300411,2.204566210045641,1.6213488248625012,1.090710849660534,2.2381089789914306,19.140617681236275,8.259751602923227,5.094370487253844,0.228881152893034,0.041856426006944544,0.5468786576986425
Epoch frontier flag,m1: llama_3,7,6,0.7293437031823966,0.8997840476225962,1.7166822589526618,19.67078189300411,2.204566210045641,1.2336900198034277,1.080072666490626,1.4180506094096041,19.140617681236275,8.259751602923227,6.69515961897731,0.09946492374811719,0.026719219457696064,0.24317210777366458
Epoch frontier flag,m1: marin_202603__comma__llama_2,7,6,0.16250604446624264,0.2979002691036768,1.7166822589526618,19.67078189300411,2.204566210045641,1.8331642375650805,0.8889859048931235,3.660892664395049,19.140617681236275,8.259751602923227,4.505734638318239,0.2870347351071976,-0.06764138088633881,0.8494303993357083
Epoch frontier flag,m1: marin_202603__dclm__llama_2,7,6,0.2205012552908564,0.4440499782639105,1.7166822589526618,19.67078189300411,2.204566210045641,2.013820636432105,0.9556996429826656,3.7119151191449755,19.140617681236275,8.259751602923227,4.101532903921903,0.3315504170583481,-0.02025957303541914,0.7540371127799779
Epoch frontier flag,m1: marin_202603__nemotron__llama_2,7,6,0.2579013269767562,0.524989275083117,1.7166822589526618,19.67078189300411,2.204566210045641,2.035620681899138,1.0018582912054033,3.6963577664421514,19.140617681236275,8.259751602923227,4.0576084122004845,0.33664991113686016,0.0010403176387753454,0.7785371959553221
Epoch frontier flag,m1: misfitting__fineweb_c4__transformer,7,6,0.547300763914071,0.7734067137563503,1.7166822589526618,19.67078189300411,2.204566210045641,1.4131292421835155,1.10132352963905,1.8347310348539694,19.140617681236275,8.259751602923227,5.845007913190277,0.16378112361751299,0.03689595880602459,0.3900626899395533
Epoch frontier flag,m2: farseer (all),7,6,0.6326953840435917,0.9127373562880771,1.7166822589526618,19.67078189300411,2.204566210045641,1.4426173784526788,1.1704555671743284,1.803857660855942,19.140617681236275,8.259751602923227,5.725531749646926,0.17356258390652538,0.06243021071716403,0.3722454576779902
Epoch frontier flag,m2: gadre (C4),7,6,0.8190900516003089,0.8868710958104531,1.7166822589526618,19.67078189300411,2.204566210045641,1.0827516389409395,0.9784097273170969,1.1973323474966768,19.140617681236275,8.259751602923227,7.628482198375845,0.03765549935738954,-0.009493440061125989,0.11172420864551717
Epoch frontier flag,m2: olmo_ladder (all),7,6,0.33485000439346474,0.5148514857556825,1.7166822589526618,19.67078189300411,2.204566210045641,1.537558545618854,0.978641686906486,2.3537540071358305,19.140617681236275,8.259751602923227,5.371991607382175,0.20374960501711256,-0.012729792799637537,0.5722152550769324
Epoch frontier flag,m2: datablations (single_epoch),7,6,0.42059728769170307,0.8388646142374869,1.7166822589526618,19.67078189300411,2.204566210045641,1.9944603514713413,1.2891677654182352,3.0051194248283912,19.140617681236275,8.259751602923227,4.141346603771739,0.3269751381831404,0.07736143875705787,0.7247225119613137
Epoch frontier flag,Ho model 7,7,6,0.08302616263546425,0.033609335940742675,1.7166822589526618,19.67078189300411,2.204566210045641,0.4048041590011604,0.23974739772839782,0.7584747457437934,19.140617681236275,8.259751602923227,20.404315072512755,-0.42831971027307014,-0.9382681006378297,-0.0829486714629569
