technology,C,CEG,w_kaplan,truncation_binds
Besiroglu et al. (2024),3.14e+23,1.6436461955859079,0.42672950974805884,False
Besiroglu et al. (2024),3.8e+25,5.159939930552142,0.20278868054083793,False
Besiroglu et al. (2024),5e+26,11.65392433975079,0.13596482260736287,False
"Hoffmann et al. (2022), TeX",3.14e+23,2.4075916879005623,0.33698653376053367,False
"Hoffmann et al. (2022), TeX",3.8e+25,11.497882990233268,0.14862229298698063,False
"Hoffmann et al. (2022), TeX",5e+26,32.41883316275388,0.09572969427644369,False
"Hoffmann et al. (2022), rounded",3.14e+23,2.974268689100812,0.29576065888117864,False
"Hoffmann et al. (2022), rounded",3.8e+25,15.859304599521726,0.12925275642009357,False
"Hoffmann et al. (2022), rounded",5e+26,46.667317558827214,0.08284536955485819,False
"Chinchilla, kappa free (inner exponents)",3.14e+23,1.9332029517578482,0.33779211508639395,False
"Chinchilla, kappa free (inner exponents)",3.8e+25,7.861890602846314,0.13351628411054528,False
"Chinchilla, kappa free (inner exponents)",5e+26,20.344732236078446,0.08108248518196855,False
"Farseer grid (m5 fit, N incl. embeddings)",3.14e+23,2.047607099716994,0.36906625562820977,False
"Farseer grid (m5 fit, N incl. embeddings)",3.8e+25,11.85799120740642,0.13677755284662513,False
"Farseer grid (m5 fit, N incl. embeddings)",5e+26,38.74254701362961,0.08023727277552065,False
m1: llama_3,3.14e+23,1.2693586631165348,0.5855287457682304,False
m1: llama_3,3.8e+25,2.755784327462703,0.32657335701804335,False
m1: llama_3,5e+26,5.060173822528434,0.23863302740727224,False
m1: marin_202603__comma__llama_2,3.14e+23,6.28025572922055,0.10022796639049153,False
m1: marin_202603__comma__llama_2,3.8e+25,87.27478801031342,0.015326965351010403,False
m1: marin_202603__comma__llama_2,5e+26,388.5449803876595,0.005587833068464373,False
m1: marin_202603__dclm__llama_2,3.14e+23,4.463986632819553,0.12429682574382091,False
m1: marin_202603__dclm__llama_2,3.8e+25,54.51479664966999,0.0190258926164185,False
m1: marin_202603__dclm__llama_2,5e+26,230.71363557104368,0.006939956656286609,False
m1: marin_202603__nemotron__llama_2,3.14e+23,3.761221542088996,0.15405328666656745,False
m1: marin_202603__nemotron__llama_2,3.8e+25,40.862932802389665,0.027596713865385335,False
m1: marin_202603__nemotron__llama_2,5e+26,166.30541288084828,0.010953923189022764,False
m1: misfitting__fineweb_c4__transformer,3.14e+23,1.5638610709794745,0.3339575422145679,False
m1: misfitting__fineweb_c4__transformer,3.8e+25,5.9519516675036686,0.09822664596201806,False
m1: misfitting__fineweb_c4__transformer,5e+26,14.989734660067338,0.050892901628631415,False
m2: farseer (all),3.14e+23,1.5103866008456668,0.49575805031940906,False
m2: farseer (all),3.8e+25,3.765354744621149,0.27796890454685846,False
m2: farseer (all),5e+26,7.337245218827711,0.20369417518976196,False
m2: gadre (C4),3.14e+23,1.1104150875346892,0.7197997114285725,False
m2: gadre (C4),3.8e+25,2.0593814629580947,0.41749088875085616,False
m2: gadre (C4),5e+26,3.527983958404191,0.311553742186393,False
m2: olmo_ladder (all),3.14e+23,2.992402425274514,0.3588442447056094,False
m2: olmo_ladder (all),3.8e+25,17.781429011161404,0.172524787461763,False
m2: olmo_ladder (all),5e+26,57.00693893893799,0.11639927979994966,False
m2: datablations (single_epoch),3.14e+23,2.3867809100720003,0.32115477629553735,False
m2: datablations (single_epoch),3.8e+25,8.077732793702102,0.16347767694106935,False
m2: datablations (single_epoch),5e+26,18.072005216815967,0.11373191072979613,False
