design,truth,sigma_true,ok,k,sigma_pooled_equal_w,bias_pooled,bias_budget_min,bias_budget_max
Chinchilla,Chinchilla form fitted to the design,0.6919134187819379,True,9,0.6892869879249924,-0.002626430856945472,-0.005304404751978686,0.0004969965882967164
Chinchilla,kappa family fitted to the design,0.6669319139916496,True,9,0.6660698574632274,-0.0008620565284221948,-0.0035059190903055093,0.0020940417776840192
Llama 3,Chinchilla form fitted to the design,0.769475375447445,True,9,0.7684138479430681,-0.0010615275043769357,-0.0026655854105624988,0.0003501350798298386
Llama 3,kappa family fitted to the design,0.6926617450637105,True,9,0.6934531439131009,0.0007913988493903901,-0.00036931509366533444,0.0021134779401303927
"Marin, Comma",Chinchilla form fitted to the design,0.6895463977985579,True,7,0.6895406561064042,-5.741692153615752e-06,-0.009538031600986874,0.007084136646499317
"Marin, Comma",kappa family fitted to the design,0.6781616585397886,True,7,0.6844775831417067,0.006315924601918099,-0.005248930370272076,0.013424759142842801
"Marin, DCLM",Chinchilla form fitted to the design,0.673000974865412,True,7,0.6723000083634357,-0.0007009665019762634,-0.012164852170438167,0.003081059304539835
"Marin, DCLM",kappa family fitted to the design,0.6633442068097245,True,7,0.6686542689779901,0.005310062168265572,-0.006839770836236658,0.009771344881263855
"Marin, Nemotron-CC",Chinchilla form fitted to the design,0.6843170547304666,True,7,0.6820863061807384,-0.0022307485497281565,-0.006499381774171642,0.0006906770811039298
"Marin, Nemotron-CC",kappa family fitted to the design,0.6766416894866081,True,7,0.6803778877640582,0.003736198277450087,-0.004559627005135236,0.008983697530315138
"Porian, RefinedWeb",Chinchilla form fitted to the design,0.599111371171823,True,11,0.5926982990653614,-0.0064130721064615814,-0.012796687489594283,0.015782684028661564
"Porian, RefinedWeb",kappa family fitted to the design,0.3454017139792397,True,12,0.39564178504985753,0.05024007107061784,0.01369439900318925,0.07513155506605929
"Porian, OpenWebText2",Chinchilla form fitted to the design,0.6088716641456957,True,11,0.6011193676359878,-0.007752296509707879,-0.011362603769440427,0.008474835996550412
"Porian, OpenWebText2",kappa family fitted to the design,0.3472753939512619,True,12,0.393901475481104,0.0466260815298421,0.013670092366238673,0.06873643330470047
