dataset,lnC,C,lnNstar,Nstar,Dstar,Lstar,a_A2,lnG_A2,E_A1,lnK_A1,gamma_A1
chinchilla_n240,43.165881276123194,5.580897480338389e+18,18.93480891370211,167218000.8995124,5562496711.196542,3.0486395523669287,0.49774571480475843,-1.4031721888767152,1.7578091507747997,7.205682664411148,0.16815612871000626
chinchilla_n240,43.68126562713659,9.343995581764426e+18,19.453645880818105,280938370.39850897,5543324661.389874,2.919134449993564,0.49774571480475843,-1.4031721888767152,1.7578091507747997,7.205682664411148,0.16815612871000626
chinchilla_n240,44.78697696278951,2.8231695167295332e+19,20.059017431654617,514660198.26019514,9142503235.705282,2.737387269249396,0.49774571480475843,-1.4031721888767152,1.7578091507747997,7.205682664411148,0.16815612871000626
chinchilla_n240,45.48047597796186,5.648325960478759e+19,20.468972554499924,775464338.6141983,12139664110.952024,2.6265175115350274,0.49774571480475843,-1.4031721888767152,1.7578091507747997,7.205682664411148,0.16815612871000626
chinchilla_n240,45.993883309232736,9.438211876433502e+19,20.750020923222422,1027116217.0986569,15315066460.369432,2.5593717406242114,0.49774571480475843,-1.4031721888767152,1.7578091507747997,7.205682664411148,0.16815612871000626
chinchilla_n240,47.102454514791695,2.8598027528281375e+20,21.242746053136404,1681153586.1403112,28351591197.10806,2.4148586336371665,0.49774571480475843,-1.4031721888767152,1.7578091507747997,7.205682664411148,0.16815612871000626
chinchilla_n240,47.796400257450465,5.724174790019153e+20,21.522301767855907,2223396387.182752,42908639105.89967,2.347144909832849,0.49774571480475843,-1.4031721888767152,1.7578091507747997,7.205682664411148,0.16815612871000626
chinchilla_n240,48.326268297489946,9.723702266910878e+20,21.760442945734745,2821241704.51795,57443396001.47986,2.297427523589164,0.49774571480475843,-1.4031721888767152,1.7578091507747997,7.205682664411148,0.16815612871000626
chinchilla_n240,49.42152935592693,2.907351132953245e+21,22.093265592033653,3935349731.6529975,123129722947.2261,2.204446770398377,0.49774571480475843,-1.4031721888767152,1.7578091507747997,7.205682664411148,0.16815612871000626
chinchilla_n245,43.165881276123194,5.580897480338389e+18,18.93480891370211,167218000.8995124,5562496711.196542,3.0486395523669287,0.48536477329548655,-0.833475775428193,1.7135342889345848,6.646406284210561,0.15438360113483282
chinchilla_n245,43.68786916978244,9.405903235019481e+18,19.636331735736984,337248881.23731965,4648349116.588378,2.845554779698631,0.48536477329548655,-0.833475775428193,1.7135342889345848,6.646406284210561,0.15438360113483282
chinchilla_n245,44.78697696278951,2.8231695167295332e+19,20.059017431654617,514660198.26019514,9142503235.705282,2.737387269249396,0.48536477329548655,-0.833475775428193,1.7135342889345848,6.646406284210561,0.15438360113483282
chinchilla_n245,45.48047597796186,5.648325960478759e+19,20.468972554499924,775464338.6141983,12139664110.952024,2.6265175115350274,0.48536477329548655,-0.833475775428193,1.7135342889345848,6.646406284210561,0.15438360113483282
chinchilla_n245,45.993883309232736,9.438211876433502e+19,20.750020923222422,1027116217.0986569,15315066460.369432,2.5593717406242114,0.48536477329548655,-0.833475775428193,1.7135342889345848,6.646406284210561,0.15438360113483282
chinchilla_n245,47.102454514791695,2.8598027528281375e+20,21.242746053136404,1681153586.1403112,28351591197.10806,2.4148586336371665,0.48536477329548655,-0.833475775428193,1.7135342889345848,6.646406284210561,0.15438360113483282
chinchilla_n245,47.796400257450465,5.724174790019153e+20,21.522301767855907,2223396387.182752,42908639105.89967,2.347144909832849,0.48536477329548655,-0.833475775428193,1.7135342889345848,6.646406284210561,0.15438360113483282
chinchilla_n245,48.326268297489946,9.723702266910878e+20,21.760442945734745,2821241704.51795,57443396001.47986,2.297427523589164,0.48536477329548655,-0.833475775428193,1.7135342889345848,6.646406284210561,0.15438360113483282
chinchilla_n245,49.42152935592693,2.907351132953245e+21,22.093265592033653,3935349731.6529975,123129722947.2261,2.204446770398377,0.48536477329548655,-0.833475775428193,1.7135342889345848,6.646406284210561,0.15438360113483282
