path,corpus,C,Mstar_point,Mstar_lo,Mstar_hi
Chinchilla,Chinchilla,4.7943562070580553e+20,20.784881005833338,15.415674541005354,28.024156664537195
Chinchilla,Chinchilla,5.2691252919292874e+20,20.778388414863603,15.307218876560922,28.205086018599967
Chinchilla,Chinchilla,5.790909173827414e+20,20.77189785199003,15.195139666722785,28.39537837999786
Chinchilla,Chinchilla,6.364363571100397e+20,20.76540931657912,15.07981508091709,28.59466258513609
Chinchilla,Chinchilla,6.994605242336852e+20,20.758922807997525,14.961601640286545,28.802589890379316
Chinchilla,Chinchilla,7.687257641641479e+20,20.75243832561214,14.840833673180546,29.01883451713396
Chinchilla,Chinchilla,8.448501095000014e+20,20.745955868790034,14.717823269950454,29.243093697729428
Chinchilla,Chinchilla,9.285127945441747e+20,20.739475436898484,14.592860626396613,29.47508733275182
Chinchilla,Chinchilla,1.0204603159043935e+21,20.73299702930497,14.466214679244413,29.714557356452875
Chinchilla,Chinchilla,1.121513093254583e+21,20.72652064537714,14.338133951730953,29.96126689215253
Chinchilla,Chinchilla,1.2325727896892612e+21,20.720046284482866,14.20884754162332,30.214999265314347
Chinchilla,Chinchilla,1.3546303569881748e+21,20.713573945990216,14.07856619707133,30.475556928890782
Chinchilla,Chinchilla,1.4887748775766254e+21,20.70710362926745,13.947483437259946,30.742760343973433
Chinchilla,Chinchilla,1.636203282075602e+21,20.70063533368304,13.81577668474213,31.016446848867467
Chinchilla,Chinchilla,1.79823102914845e+21,20.69416905860561,13.683608384627817,31.296469541414595
Chinchilla,Chinchilla,1.9763038429370906e+21,20.687704803404035,13.551127092598271,31.582696192595883
Chinchilla,Chinchilla,2.172010612817358e+21,20.681242567447356,13.418468519174066,31.875008203985647
Chinchilla,Chinchilla,2.38709757057404e+21,20.674782350104824,13.285756521972631,32.17329961732129
Chinchilla,Chinchilla,2.6234838714941403e+21,20.668324150745878,13.15310404103189,32.47747618111232
Chinchilla,Chinchilla,2.883278718403943e+21,20.661867968740175,13.020613974817998,32.787454476670995
