uid,model,dev,year,gen,N,D,M,Cmp,set,dlo,dhi,Mstar_hi_eff,Mstar_lo_eff,binding_upper,binding_lower,tau_break,sign_tau1
B:h2oai/h2o-danube3-500m-base,h2o-danube3-500m-base,H2O.ai,2024,H2O-Danube3,513590784.0,4000000000000.0,7788.301746473706,1.2326178816e+22,S1,4.646255277895113,6.8001510843594195,74.74802816800569,8.673106459411844,Marin,Llama 3,104.19407624999162,w>1
B:h2oai/h2o-danube3-4b-base,h2o-danube3-4b-base,H2O.ai,2024,H2O-Danube3,3961839360.0,6000000000000.0,1514.4480769659474,1.4262621696e+23,S1,2.3430344153481952,5.396206407439978,145.4412071799384,6.866125260735758,Marin,Llama 3,10.412785388203547,w>1
B:allenai/OLMo-1B-hf,OLMo-1B-hf,AI2,2024,OLMo-1,1176764416.0,3000000000000.0,2549.3632873412785,2.1181759488e+22,S1,3.38319930744111,5.734317864459129,86.5220771287198,8.242313353279304,Marin,Llama 3,29.46488771355505,w>1
B:allenai/OLMo-7B-hf,OLMo-7B-hf,AI2,2024,OLMo-1,6888095744.0,2500000000000.0,362.94501309417336,1.0332143616e+23,S1,1.0026266088870646,3.9365152562391224,133.16976393110937,7.083272989043733,Marin,Llama 3,2.725431076696434,w>1
B:allenai/OLMo-7B-0424-hf,OLMo-7B-0424-hf,AI2,2024,OLMo-1.7,6888095744.0,2050000000000.0,297.6149107372222,8.47235776512e+22,S1,0.8583768111541525,3.7189395624697106,126.14393469565641,7.220042523131375,Marin,Llama 3,2.3593279491024957,w>1
B:TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,2024,TinyLlama,1100000000.0,2000000000000.0,1818.1818181818182,1.32e+22,S1,3.173002428067859,5.351778282200147,76.14122591835084,8.617663545576194,Marin,Llama 3,23.879072030328544,w>1
B:Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Alibaba,2024,Qwen2.5,494032768.0,18000000000000.0,36434.83016899802,5.3355538944e+22,S1,5.791954464531177,8.481998027772212,111.19951322761581,7.5479985931288915,Marin,Llama 3,327.65278472414775,w>1
B:Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,Alibaba,2024,Qwen2.5,1543714304.0,18000000000000.0,11660.188645890788,1.66721144832e+23,S1,4.3414430006871285,7.452439337562293,151.7891881291569,6.763201016331765,Marin,Llama 3,76.81830827087087,w>1
B:Qwen/Qwen2.5-3B,Qwen2.5-3B,Alibaba,2024,Qwen2.5,3085938688.0,18000000000000.0,5832.9091468974775,3.33281378304e+23,S1,3.4589248927703533,6.826985426499229,183.5241484748845,6.323581397169788,Marin,Llama 3,31.782788234517913,w>1
B:Qwen/Qwen2.5-7B,Qwen2.5-7B,Alibaba,2024,Qwen2.5,7615616512.0,18000000000000.0,2363.564390569986,8.22486583296e+23,S1,2.307394763614031,6.011672528224368,235.2223718672343,5.790702217817143,Marin,Llama 3,10.048212556516706,w>1
B:Qwen/Qwen2.5-14B,Qwen2.5-14B,Alibaba,2024,Qwen2.5,14770033664.0,18000000000000.0,1218.6837491015756,1.595163635712e+24,S1,1.4626665322394619,5.414037162358662,282.2688904543447,5.427559029778518,Marin,Llama 3,4.317456830400126,w>1
B:Qwen/Qwen2.5-32B,Qwen2.5-32B,Alibaba,2024,Qwen2.5,32763876352.0,18000000000000.0,549.3855429869253,3.538498646016e+24,S1,0.4463267604738119,4.695395337476698,351.5928038220906,5.019875445053801,Marin,Llama 3,1.5625619666121486,w>1
B:Qwen/Qwen2.5-72B,Qwen2.5-72B,Alibaba,2024,Qwen2.5,72706203648.0,18000000000000.0,247.57172148810363,7.852269993984e+24,S1,-0.5707720166687302,3.9765813528872593,438.11101645597694,4.641877745628872,Marin,Llama 3,1.0,not identified
B:Qwen/Qwen3-0.6B-Base,Qwen3-0.6B-Base,Alibaba,2025,Qwen3,596049920.0,36000000000000.0,60397.62575590984,1.2874678272e+23,S1,6.056938799647539,9.072208510267904,141.42453804964686,6.934414089643774,Marin,Llama 3,427.0660989163518,w>1
B:Qwen/Qwen3-1.7B-Base,Qwen3-1.7B-Base,Alibaba,2025,Qwen3,1720574976.0,36000000000000.0,20923.23816291514,3.71644194816e+23,S1,4.706369016403338,8.114926604428849,189.0944598359675,6.256926497310498,Marin,Llama 3,110.64966250764448,w>1
B:Qwen/Qwen3-4B-Base,Qwen3-4B-Base,Alibaba,2025,Qwen3,4022468096.0,36000000000000.0,8949.729156534248,8.68853108736e+23,S1,3.623761730103137,7.3484808399261485,238.79771645001946,5.759770954336983,Marin,Llama 3,37.4782861812141,w>1
B:Qwen/Qwen3-8B-Base,Qwen3-8B-Base,Alibaba,2025,Qwen3,8190735360.0,36000000000000.0,4395.209760506778,1.76919883776e+24,S1,2.716885178460295,6.706918979520704,290.43661438557297,5.372812726224473,Marin,Llama 3,15.133111814448641,w>1
B:Qwen/Qwen3-14B-Base,Qwen3-14B-Base,Alibaba,2025,Qwen3,14768307200.0,36000000000000.0,2437.6524345322396,3.1899543552e+24,S1,1.9649174085781542,6.175212623261719,341.6795568581588,5.071203240046943,Marin,Llama 3,7.134323331917047,w>1
B:allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,AI2,2025,OLMo-2,1484916736.0,4050000000000.0,2727.4256541209866,3.60834766848e+22,S1,3.3062057072086866,5.852435692508825,99.97376006875203,7.83560246520271,Marin,Llama 3,27.281415165792843,w>1
B:allenai/OLMo-2-1124-7B,OLMo-2-1124-7B,AI2,2024,OLMo-2,7298617344.0,4050000000000.0,554.8996212727055,1.773564014592e+23,S1,1.27936347724172,4.41327905581465,154.38102849127577,6.722823157277106,Marin,Llama 3,3.594351110985528,w>1
B:allenai/OLMo-2-1124-13B,OLMo-2-1124-13B,AI2,2024,OLMo-2,13716198400.0,5150000000000.0,375.46846799766325,4.2383053056e+23,S1,0.6498544244731015,4.107273366958128,196.04026461275836,6.177422586923931,Marin,Llama 3,1.9152619934447266,w>1
B:allenai/OLMo-2-0325-32B,OLMo-2-0325-32B,AI2,2025,OLMo-2,32234279936.0,6150000000000.0,190.79067415839916,1.1894449296384e+24,S1,-0.31086707612106057,3.5309730150095837,260.35444597119493,5.585667071532855,Marin,Llama 3,1.0,not identified
B:allenai/Olmo-3-1025-7B,Olmo-3-1025-7B,AI2,2025,Olmo-3,7298011136.0,6030000000000.0,826.2525073790187,2.6404204290048e+23,S1,1.5684326958010937,4.849986105326019,172.16748103723413,6.468306453142395,Marin,Llama 3,4.799120614422694,w>1
B:allenai/Olmo-3-1125-32B,Olmo-3-1125-32B,AI2,2025,Olmo-3,32233522176.0,5600000000000.0,173.73217762002974,1.0830463451136e+24,S1,-0.37873542249621917,3.4281490549727938,253.7248283541643,5.637078018101075,Marin,Llama 3,1.0,not identified
B:HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,Hugging Face,2024,SmolLM2,134515008.0,2000000000000.0,14868.229424630446,1.614180096e+21,S1,5.833784656579285,7.263560080255596,43.51898612363814,10.416820775038895,Marin,Llama 3,341.6492604489812,w>1
B:HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,Hugging Face,2024,SmolLM2,361821120.0,4000000000000.0,11055.186607127853,8.68370688e+21,S1,5.0907840747707445,7.117799387137987,68.02470161538315,8.960764848469125,Marin,Llama 3,162.51723777686993,w>1
B:HuggingFaceTB/SmolLM2-1.7B,SmolLM2-1.7B,Hugging Face,2024,SmolLM2,1711376384.0,11000000000000.0,6427.574964128989,1.12950841344e+23,S1,3.852375354392497,6.819214559933968,136.45259265046394,7.022631758591518,Marin,Llama 3,47.104821090456106,w>1
B:HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,Hugging Face,2025,SmolLM3,3075098624.0,11200000000000.0,3642.1596083417194,2.066466275328e+23,S1,3.1190428588667904,6.309635834721373,160.9814635017697,6.623979014467087,Marin,Llama 3,22.624714231782846,w>1
B:tiiuae/Falcon3-7B-Base,Falcon3-7B-Base,TII,2024,Falcon3,7455550464.0,14000000000000.0,1877.7956191968176,6.26266238976e+23,S1,2.152266108775624,5.755000512375053,218.23832860368535,5.9468003136646495,Marin,Llama 3,8.604334679481722,w>1
B:tiiuae/falcon-11B,falcon-11B,TII,2024,Falcon2,11102822400.0,5500000000000.0,495.3695377492483,3.663931392e+23,S1,0.966963209850495,4.370230548738138,188.35732337206358,6.265594500692013,Marin,Llama 3,2.6299457269879616,w>1
B:ibm-granite/granite-3.0-2b-base,granite-3.0-2b-base,IBM,2024,Granite-3.0,2533525504.0,12000000000000.0,4736.482810634458,1.82413836288e+23,S1,3.4159268933815827,6.56026545281317,155.57426760813811,6.704538354074285,Marin,Llama 3,30.445155766792702,w>1
B:ibm-granite/granite-3.0-8b-base,granite-3.0-8b-base,IBM,2024,Granite-3.0,8170835968.0,12000000000000.0,1468.6379762115425,5.88300189696e+23,S1,1.9236917424328306,5.503138498913268,214.51913911592348,5.98318003205773,Marin,Llama 3,6.8461862296487626,w>1
B:swiss-ai/Apertus-8B-2509,Apertus-8B-2509,Swiss AI,2025,Apertus,8053338176.0,15000000000000.0,1862.5816614409612,7.2480043584e+23,S1,2.103959065351141,5.761122096076583,227.18387895148467,5.862620560694391,Marin,Llama 3,8.198564396546452,w>1
B:swiss-ai/Apertus-70B-2509,Apertus-70B-2509,Swiss AI,2025,Apertus,70599864480.0,15000000000000.0,212.46499707162045,6.3539878032e+24,S1,-0.6652360155812636,3.802850295587973,413.23369100305723,4.739477793763671,Marin,Llama 3,1.0,not identified
B:marin-community/marin-8b-base,marin-8b-base,Marin,2025,Marin,8030261248.0,12700000000000.0,1581.5176627239912,6.119059070976e+23,S1,1.9869285683127496,5.581024461704137,216.85125175410357,5.960269804807173,Marin,Llama 3,7.293099071050501,w>1
B:m-a-p/neo_7b,neo_7b,M-A-P,2024,MAP-Neo,7793716224.0,4420000000000.0,567.1235483772215,2.0668935426048e+23,S1,1.2592313117524059,4.4499009739580195,160.9905820374183,6.623846241011451,Marin,Llama 3,3.5227125785867868,w>1
B:stabilityai/stablelm-3b-4e1t,stablelm-3b-4e1t,Stability AI,2023,StableLM-3B-4E1T,2795443200.0,4000000000000.0,1430.9001163035614,6.70906368e+22,S1,2.492304422606594,5.266755377607856,118.36280836743906,7.383912148528177,Marin,Llama 3,12.089102447295378,w>1
B:meta-llama/Llama-2-7b-hf,Llama-2-7b-hf,Meta,2023,Llama-2,6738417664.0,2000000000000.0,296.80558548411165,8.0861011968e+22,S2(a),1.6201306962318727,4.31013209676257,,,,,,
B:meta-llama/Llama-2-13b-hf,Llama-2-13b-hf,Meta,2023,Llama-2,13015866880.0,2000000000000.0,153.6586090222828,1.5619040256e+23,S2(a),0.8550120595703783,3.7544897497545846,,,,,,
B:meta-llama/Llama-2-70b-hf,Llama-2-70b-hf,Meta,2023,Llama-2,68976653312.0,2000000000000.0,28.99531803831451,8.27719839744e+23,S2(a),-1.0830492087329944,2.347036238408749,,,,,,
B:huggyllama/llama-7b,llama-7b,Meta,2023,Llama,6738417664.0,1000000000000.0,148.40279274205582,4.0430505984e+22,S2(a),1.0394027491585502,3.5088539560352734,,,,,,
B:huggyllama/llama-13b,llama-13b,Meta,2023,Llama,13015866880.0,1000000000000.0,76.8293045111414,7.809520128e+22,S2(a),0.27428411249705587,2.9532116090272877,,,,,,
B:huggyllama/llama-30b,llama-30b,Meta,2023,Llama,32528947456.0,1400000000000.0,43.03858899503889,2.732431586304e+23,S2(a),-0.5083329083036681,2.5691022268133024,,,,,,
B:huggyllama/llama-65b,llama-65b,Meta,2023,Llama,65285665792.0,1400000000000.0,21.444217241505925,5.483995926528e+23,S2(a),-1.3179610887883224,1.9811362815956748,,,,,,
B:meta-llama/Meta-Llama-3-70B,Meta-Llama-3-70B,Meta,2024,Llama-3 herd,70553706496.0,15000000000000.0,212.60399694026586,6.34983358464e+24,S2(a),0.5787908626228484,4.657184561056077,,,,,,
B:meta-llama/Meta-Llama-3-8B,Meta-Llama-3-8B,Meta,2024,Llama-3 herd,8030261248.0,15000000000000.0,1867.9342473118006,7.2272351232e+23,S2(a),3.1044051386556797,6.491329197886593,,,,,,
B:meta-llama/Llama-3.1-405B,Llama-3.1-405B,Meta,2024,Llama-3 herd,405853388800.0,15600000000000.0,38.437525546170825,3.798787719168e+25,S2(a),-1.42173195096112,3.225846308437479,,,,,,
B:Qwen/Qwen-72B,Qwen-72B,Alibaba,2023,Qwen,72287920128.0,3000000000000.0,41.50070986532617,1.301182562304e+24,S2(a),-0.7978388444154403,2.776179633103747,,,,,,
B:Qwen/Qwen-14B,Qwen-14B,Alibaba,2023,Qwen,14167290880.0,3000000000000.0,211.75537549208562,2.5501123584e+23,S2(a),1.0962013959505645,4.151664314899762,,,,,,
B:Qwen/Qwen-7B,Qwen-7B,Alibaba,2023,Qwen,7721324544.0,2400000000000.0,310.8274993912754,1.111870734336e+23,S2(a),1.614637868089397,4.405976107151962,,,,,,
B:Qwen/Qwen2-72B,Qwen2-72B,Alibaba,2024,Qwen2,72706203648.0,7000000000000.0,96.27789168981808,3.053660553216e+24,S2(a),-0.0946668455566968,3.7507863517434012,,,,,,
B:Qwen/Qwen2-7B,Qwen2-7B,Alibaba,2024,Qwen2,7615616512.0,7000000000000.0,919.1639296661056,3.19855893504e+23,S2(a),2.52748867006051,5.6550409014363,,,,,,
B:Qwen/Qwen2-1.5B,Qwen2-1.5B,Alibaba,2024,Qwen2,1543714304.0,7000000000000.0,4534.517806735306,6.4836000768e+22,S2(a),4.382349689571759,7.002072957473949,,,,,,
B:Qwen/Qwen2-0.5B,Qwen2-0.5B,Alibaba,2024,Qwen2,494032768.0,12000000000000.0,24289.886779332013,3.5570359296e+22,S2(a),6.1580595173177475,8.586759949028394,,,,,,
B:01-ai/Yi-6B,Yi-6B,01.AI,2023,Yi,6061035520.0,3000000000000.0,494.9649263893441,1.0909863936e+23,S2(a),2.0829620146496106,4.868266891071963,,,,,,
B:01-ai/Yi-34B,Yi-34B,01.AI,2023,Yi,34388917248.0,3000000000000.0,87.23740786501426,6.19000510464e+23,S2(a),0.06557601011214942,3.4032063884636745,,,,,,
B:google/gemma-7b,gemma-7b,Google,2024,Gemma,8537680896.0,6000000000000.0,702.7669542921273,3.07356512256e+23,S2(a),2.2655146395665726,5.380383247047827,,,,,,
B:google/gemma-2b,gemma-2b,Google,2024,Gemma,2506172416.0,3000000000000.0,1197.044537258206,4.5111103488e+22,S2(a),3.1093169652645236,5.613623553812937,,,,,,
B:google/gemma-2-27b,gemma-2-27b,Google,2024,Gemma-2,27227128320.0,13000000000000.0,477.464969761453,2.12371600896e+24,S2(a),1.5654871623188429,5.2953833407035535,,,,,,
B:tiiuae/falcon-180B,falcon-180B,TII,2023,Falcon,179522565120.0,3500000000000.0,19.49615636151623,3.76997386752e+24,S2(a),-1.7258653374263475,2.1866383879514957,,,,,,
B:tiiuae/falcon-40b,falcon-40b,TII,2023,Falcon,41835970560.0,1000000000000.0,23.902875602367764,2.5101582336e+23,S2(a),-1.0826703619490026,1.967767871499073,,,,,,
B:tiiuae/falcon-7b,falcon-7b,TII,2023,Falcon,7217189760.0,1500000000000.0,207.83712911547445,6.495470784e+22,S2(a),1.2993337264531748,3.9196390239776604,,,,,,
B:microsoft/phi-2,phi-2,Microsoft,2023,Phi-2,2779683840.0,1400000000000.0,503.65440121420426,2.3349344256e+22,S2(a),2.3295290687655017,4.645167678534608,,,,,,
B:microsoft/phi-1_5,phi-1_5,Microsoft,2023,Phi-1.5,1418270720.0,150000000000.0,105.76260081009076,1.276443648e+21,S2(a),0.9892052279073247,2.631061715017674,,,,,,
B:mosaicml/mpt-30b,mpt-30b,MosaicML,2023,MPT,30000000000.0,1050000000000.0,35.0,1.89e+23,S2(a),-0.6552975268484711,2.304849204913797,,,,,,
B:mosaicml/mpt-7b,mpt-7b,MosaicML,2023,MPT,7000000000.0,1000000000000.0,142.85714285714286,4.2e+22,S2(a),0.9951408469745431,3.476710199454108,,,,,,
B:deepseek-ai/deepseek-llm-67b-base,deepseek-llm-67b-base,DeepSeek,2024,DeepSeek-LLM,67000000000.0,2000000000000.0,29.850746268656717,8.04e+23,S2(a),-1.0492580848779252,2.3715759352181145,,,,,,
B:deepseek-ai/deepseek-llm-7b-base,deepseek-llm-7b-base,DeepSeek,2024,DeepSeek-LLM,7000000000.0,2000000000000.0,285.7142857142857,8.4e+22,S2(a),1.5758687940478655,4.277988340181405,,,,,,
B:stabilityai/stablelm-base-alpha-3b,stablelm-base-alpha-3b,Stability AI,2023,StableLM-alpha,3638525952.0,800000000000.0,219.8692576482137,1.74649245696e+22,S2(a),1.568643561722408,3.771012046605116,,,,,,
B:stabilityai/stablelm-base-alpha-7b-v2,stablelm-base-alpha-7b-v2,Stability AI,2023,StableLM-alpha-v2,6889414656.0,1100000000000.0,159.66523353939925,4.54701367296e+22,S2(a),1.09349967357416,3.6003286429110615,,,,,,
