unit,dlo,dhi,Cmp,year,n_members,dlo_S2c,members,units_file,id_tau1,id_tau1.3,id_tau1.84,id_tau3.4,id_tau4.4,id_tau8,id_tau10,tau_break
Qwen3,1.9649174085781542,9.072208510267904,6.328397279232e+24,2025,5,1.490069464943221,Qwen3-0.6B-Base; Qwen3-1.7B-Base; Qwen3-4B-Base; Qwen3-8B-Base; Qwen3-14B-Base,49,True,True,True,True,True,False,False,7.134323331917047
OLMo-2#1,1.27936347724172,5.852435692508825,2.13439878144e+23,2024,2,0.9947583420807602,OLMo-2-0425-1B; OLMo-2-1124-7B,49,True,True,True,True,False,False,False,3.594351110985528
B:allenai/OLMo-2-1124-13B,0.6498544244731015,4.107273366958128,4.2383053056e+23,2024,1,0.28001442669591725,OLMo-2-1124-13B,49,True,True,True,False,False,False,False,1.9152619934447266
B:allenai/OLMo-2-0325-32B,-0.31086707612106057,3.5309730150095837,1.1894449296384e+24,2025,1,-0.7661888871429481,OLMo-2-0325-32B,49,False,False,False,False,False,False,False,1.0
Olmo-3,-0.37873542249621917,4.849986105326019,1.34708838801408e+24,2025,2,-0.8268227893950924,Olmo-3-1025-7B; Olmo-3-1125-32B,49,False,False,False,False,False,False,False,1.0
B:HuggingFaceTB/SmolLM2-135M,5.833784656579285,7.263560080255596,1.614180096e+21,2024,1,5.160431734535961,SmolLM2-135M,49,True,True,True,True,True,True,True,341.6492604489812
B:HuggingFaceTB/SmolLM2-360M,5.0907840747707445,7.117799387137987,8.68370688e+21,2024,1,4.490759259337574,SmolLM2-360M,49,True,True,True,True,True,True,True,162.51723777686993
B:HuggingFaceTB/SmolLM2-1.7B,3.852375354392497,6.819214559933968,1.12950841344e+23,2024,1,3.429522881256486,SmolLM2-1.7B,49,True,True,True,True,True,True,True,47.104821090456106
B:HuggingFaceTB/SmolLM3-3B-Base,3.1190428588667904,6.309635834721373,2.066466275328e+23,2025,1,2.725851676063499,SmolLM3-3B-Base,49,True,True,True,True,True,True,True,22.624714231782846
B:tiiuae/Falcon3-7B-Base,2.152266108775624,5.755000512375053,6.26266238976e+23,2024,1,1.8329843260139649,Falcon3-7B-Base,49,True,True,True,True,True,True,False,8.604334679481722
B:tiiuae/falcon-11B,0.966963209850495,4.370230548738138,3.663931392e+23,2024,1,0.501823517637292,falcon-11B,49,True,True,True,False,False,False,False,2.6299457269879616
Granite-3.0,1.9236917424328306,6.56026545281317,7.70714025984e+23,2024,2,1.4140859870749667,granite-3.0-2b-base; granite-3.0-8b-base,49,True,True,True,True,True,False,False,6.8461862296487626
Apertus,-0.6652360155812636,5.761122096076583,7.07878823904e+24,2025,2,-1.2422816704321145,Apertus-8B-2509; Apertus-70B-2509,49,False,False,False,False,False,False,False,1.0
B:marin-community/marin-8b-base,1.9869285683127496,5.581024461704137,6.119059070976e+23,2025,1,1.647184293322602,marin-8b-base,49,True,True,True,True,True,False,False,7.293099071050501
B:m-a-p/neo_7b,1.2592313117524059,4.4499009739580195,2.0668935426048e+23,2024,1,0.9556685409053411,neo_7b,49,True,True,True,True,False,False,False,3.5227125785867868
B:stabilityai/stablelm-3b-4e1t,2.492304422606594,5.266755377607856,6.70906368e+22,2023,1,2.144211883805281,stablelm-3b-4e1t,49,True,True,True,True,True,True,True,12.089102447295378
Llama-2,-2.0951415269941442,3.711724644459016,1.064771254272e+24,2023,3,-2.5463407501644606,Llama-2-7b-hf; Llama-2-13b-hf; Llama-2-70b-hf,56,False,False,False,False,False,False,False,1.0
B:huggyllama/llama-7b,0.3640995692963722,2.9521086054105954,4.0430505984e+22,2023,1,0.08954557085162929,llama-7b,56,True,True,False,False,False,False,False,1.4392175088987373
B:huggyllama/llama-13b,-0.47360171596036515,2.3568844763811256,7.809520128e+22,2023,1,-0.7807174111441997,llama-13b,56,False,False,False,False,False,False,False,1.0
B:huggyllama/llama-30b,-1.3957634584599203,1.8985093031428004,2.732431586304e+23,2023,1,-1.7819978006770247,llama-30b,56,False,False,False,False,False,False,False,1.0
B:huggyllama/llama-65b,-2.283643505781073,1.2696555528177709,5.483995926528e+23,2023,1,-2.7077953430724526,llama-65b,56,False,False,False,False,False,False,False,1.0
Llama-3 herd,-2.869193431253506,5.763711652591255,4.506043428864e+25,2024,3,-3.5642382698347617,Meta-Llama-3-70B; Meta-Llama-3-8B; Llama-3.1-405B,56,False,False,False,False,False,False,False,1.0
B:Qwen/Qwen-72B,-1.8610522374102034,2.0142880890424615,1.301182562304e+24,2023,1,-2.308331056566608,Qwen-72B,56,False,False,False,False,False,False,False,1.0
B:Qwen/Qwen-14B,0.2165057817734235,3.4851384828884586,2.5501123584e+23,2023,1,-0.06231983464085111,Qwen-14B,56,True,False,False,False,False,False,False,1.241730264736118
B:Qwen/Qwen-7B,0.8275627486107497,3.7885809669597568,1.111870734336e+23,2023,1,0.656084990084711,Qwen-7B,56,True,True,True,False,False,False,False,2.287736151827663
B:Qwen/Qwen2-72B,-1.2545926702153487,2.9393776820245083,3.053660553216e+24,2024,1,-1.7674611677682348,Qwen2-72B,56,False,False,False,False,False,False,False,1.0
B:Qwen/Qwen2-7B,1.6223998136562399,4.975181332978831,3.19855893504e+23,2024,1,1.3685366332527042,Qwen2-7B,56,True,True,True,True,True,False,False,5.065231353998697
B:Qwen/Qwen2-1.5B,3.655040308553681,6.416887147667281,6.4836000768e+22,2024,1,3.39590337110851,Qwen2-1.5B,56,True,True,True,True,True,True,True,38.669079778425484
B:Qwen/Qwen2-0.5B,5.49679962001569,8.037771834464479,3.5570359296e+22,2024,1,5.2810710200378335,Qwen2-0.5B,56,True,True,True,True,True,True,True,243.9100768863723
Yi,-0.913746901290402,4.251999858029411,7.280991498239999e+23,2023,2,-1.3493147373906673,Yi-6B; Yi-34B,56,False,False,False,False,False,False,False,1.0
B:google/gemma-7b,1.3648967376981451,4.702867579477315,3.07356512256e+23,2024,1,1.095894671236997,gemma-7b,56,True,True,True,True,False,False,False,3.9153187262931075
B:google/gemma-2b,2.421981056742591,5.050259161336759,4.5111103488e+22,2024,1,2.3237135552507286,gemma-2b,56,True,True,True,True,True,True,True,11.268160082553461
B:google/gemma-2-27b,0.4467795064586877,4.505028526786433,2.12371600896e+24,2024,1,-0.01296588893633377,gemma-2-27b,56,True,True,False,False,False,False,False,1.5632695704389608
B:tiiuae/falcon-180B,-2.9097355597038246,1.3630300074489798,3.76997386752e+24,2023,1,-3.4508111487782775,falcon-180B,56,False,False,False,False,False,False,False,1.0
B:tiiuae/falcon-40b,-1.9605977173581772,1.3021725071203716,2.5101582336e+23,2023,1,-2.3352216934727688,falcon-40b,56,False,False,False,False,False,False,False,1.0
B:tiiuae/falcon-7b,0.5718222876109138,3.334343521665459,6.495470784e+22,2023,1,0.2546912999818227,falcon-7b,56,True,True,False,False,False,False,False,1.771492280329169
